#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_aakon;Aakon;Aakon;Aakon;;Aakon;;;;;;;;;x
c_aakon_adj;Aakonian;;aakoner;;;;;;;;;;;x
c_aarnau;Aarnau;Aarnau;Aarnau;;Aarnau;;;;;;;;;x
c_aarnau_adj;Aarnian;;aarner;;;;;;;;;;;x
c_aarvik;Aarvik;Aarvik;Aarvik;;Aarvik;;;;;;;;;x
c_aarvik_adj;Aarvikian;;aarviker;;;;;;;;;;;x
c_abak;Abak;Abak;Abak;;Abak;;;;;;;;;x
c_abak_adj;Abakian;;abaker;;;;;;;;;;;x
c_abiria;Abiria;Abiria;Abiria;;Abiria;;;;;;;;;x
c_abiria_adj;Abirian;;abirer;;;;;;;;;;;x
c_abraq;Abraq;Abraq;Abraq;;Abraq;;;;;;;;;x
c_abraq_adj;Abraqian;;abraqer;;;;;;;;;;;x
c_abu_hamed;Abu Hamed;Abu Hamed;Abu Hamed;;Abu Hamed;;;;;;;;;x
c_abu_hamed_adj;Abu Hamedian;;Abu Hameder;;;;;;;;;;;x
c_achaes;Achaes;Achaes;Achaes;;Achaes;;;;;;;;;x
c_achaes_adj;Achaesian;;achaeser;;;;;;;;;;;x
c_achcauhtaca;Achcauhtaca;Achcauhtaca;Achcauhtaca;;Achcauhtaca;;;;;;;;;x
c_achcauhtaca_adj;Achcauhtacan;;achcauhtacer;;;;;;;;;;;x
c_adad_nirari;Adad-Nirari;Adad-Nirari;Adad-Nirari;;Adad-Nirari;;;;;;;;;x
c_adad_nirari_adj;Adad-Nirarian;;adad-nirarer;;;;;;;;;;;x
c_addaivoch;Addaivoch;Addaivoch;Addaivoch;;Addaivoch;;;;;;;;;x
c_addaivoch_adj;Addaivochian;;addaivocher;;;;;;;;;;;x
c_admuat;Admuat;Admuat;Admuat;;Admuat;;;;;;;;;x
c_admuat_adj;Admuatian;;admuater;;;;;;;;;;;x
c_adryn;Adryn;Adryn;Adryn;;Adryn;;;;;;;;;x
c_adryn_adj;Adrynian;;adryner;;;;;;;;;;;x
c_adygea;Adygea;Adygea;Adygea;;Adygea;;;;;;;;;x
c_adygea_adj;Adygean;;adyger;;;;;;;;;;;x
c_aeirs;Aeirs;Aeirs;Aeirs;;Aeirs;;;;;;;;;x
c_aeirs_adj;Aeirsian;;aeirser;;;;;;;;;;;x
c_afaduum;Afaduum;Afaduum;Afaduum;;Afaduum;;;;;;;;;x
c_afaduum_adj;Afaduumian;;afaduumer;;;;;;;;;;;x
c_afayan;Afayan;Afayan;Afayan;;Afayan;;;;;;;;;x
c_afayan_adj;Afayanian;;afayaner;;;;;;;;;;;x
c_agade;Agade;Agade;Agade;;Agade;;;;;;;;;x
c_agade_adj;Agadean;;agader;;;;;;;;;;;x
c_aguilar;Aguilar;Aguilar;Aguilar;;Aguilar;;;;;;;;;x
c_aguilar_adj;Aguilarian;;aguilarer;;;;;;;;;;;x
c_ahbou;Ahbou;Ahbou;Ahbou;;Ahbou;;;;;;;;;x
c_ahbou_adj;Ahbian;;ahber;;;;;;;;;;;x
c_ahhiya;Ahhiya;Ahhiya;Ahhiya;;Ahhiya;;;;;;;;;x
c_ahhiya_adj;Ahhiyan;;ahher;;;;;;;;;;;x
c_ahlenhof;Ahlenhof;Ahlenhof;Ahlenhof;;Ahlenhof;;;;;;;;;x
c_ahlenhof_adj;Ahlenhofian;;ahlenhofer;;;;;;;;;;;x
c_ahtaf;Ahtaf;Ahtaf;Ahtaf;;Ahtaf;;;;;;;;;x
