#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_abshaumwald;Abshaumwald;Abshaumwald;Abshaumwald;;Abshaumwald;;;;;;;;;x
d_abshaumwald_adj;Abshaumwaldian;;abshaumwalder;;;;;;;;;;;x
d_abyskhar;Abyskhar;Abyskhar;Abyskhar;;Abyskhar;;;;;;;;;x
d_abyskhar_adj;Abyskharian;;abyskharer;;;;;;;;;;;x
d_achteraver;Achteraver;Achteraver;Achteraver;;Achteraver;;;;;;;;;x
d_achteraver_adj;Achteraverian;;achteraverer;;;;;;;;;;;x
d_aeryn;Aeryn;Aeryn;Aeryn;;Aeryn;;;;;;;;;x
d_aeryn_adj;Aerynian;;aeryner;;;;;;;;;;;x
d_aestuniae;Aestuniae;Aestuniae;Aestuniae;;Aestuniae;;;;;;;;;x
d_aestuniae_adj;Aestuniaean;;aestuner;;;;;;;;;;;x
d_aix;Aix;Aix;Aix;;Aix;;;;;;;;;x
d_aix_adj;Aixian;;aixer;;;;;;;;;;;x
d_akara;Akara;Akara;Akara;;Akara;;;;;;;;;x
d_akara_adj;Akaran;;akarer;;;;;;;;;;;x
d_akheten;Akheten;Akheten;Akheten;;Akheten;;;;;;;;;x
d_akheten_adj;Akhetenian;;akhetener;;;;;;;;;;;x
d_al_anaim;Al-Anaim;Al-Anaim;Al-Anaim;;Al-Anaim;;;;;;;;;x
d_al_anaim_adj;Al-Anaimian;;al-anaimer;;;;;;;;;;;x
d_al_sahra;Al-Sahra;Al-Sahra;Al-Sahra;;Al-Sahra;;;;;;;;;x
d_al_sahra_adj;Al-Sahran;;al-sahrer;;;;;;;;;;;x
d_aldente;Aldente;Aldente;Aldente;;Aldente;;;;;;;;;x
d_aldente_adj;Aldentean;;aldenter;;;;;;;;;;;x
d_alemoges;Alemôges;Alemôges;Alemôges;;Alemôges;;;;;;;;;x
d_alemoges_adj;Alemôgesian;;alemôgeser;;;;;;;;;;;x
d_alhaka;Alhaka;Alhaka;Alhaka;;Alhaka;;;;;;;;;x
d_alhaka_adj;Alhakan;;alhaker;;;;;;;;;;;x
d_altaya;Altaya;Altaya;Altaya;;Altaya;;;;;;;;;x
d_altaya_adj;Altayan;;altaer;;;;;;;;;;;x
d_altdorf;Altdorf;Altdorf;Altdorf;;Altdorf;;;;;;;;;x
d_altdorf_adj;Altdorfian;;altdorfer;;;;;;;;;;;x
d_amaxacaro;Amaxacaro;Amaxacaro;Amaxacaro;;Amaxacaro;;;;;;;;;x
d_amaxacaro_adj;Amaxacarian;;amaxacarer;;;;;;;;;;;x
d_amocan;Amocan;Amocan;Amocan;;Amocan;;;;;;;;;x
d_amocan_adj;Amocanian;;amocaner;;;;;;;;;;;x
d_ancon;Ançon;Ançon;Ançon;;Ançon;;;;;;;;;x
d_ancon_adj;Ançonian;;ançoner;;;;;;;;;;;x
d_angerrial;Angerrial;Angerrial;Angerrial;;Angerrial;;;;;;;;;x
d_angerrial_adj;Angerrialian;;angerrialer;;;;;;;;;;;x
d_anksary;Anksary;Anksary;Anksary;;Anksary;;;;;;;;;x
d_anksary_adj;Anksarian;;anksarer;;;;;;;;;;;x
d_anlec;Anlec;Anlec;Anlec;;Anlec;;;;;;;;;x
d_anlec_adj;Anlecian;;anlecer;;;;;;;;;;;x
d_anmyr;Anmyr;Anmyr;Anmyr;;Anmyr;;;;;;;;;x
d_anmyr_adj;Anmyrian;;anmyrer;;;;;;;;;;;x
d_anroc;Anroc;Anroc;Anroc;;Anroc;;;;;;;;;x
d_anroc_adj;Anrocian;;anrocer;;;;;;;;;;;x
d_aponnia;Aponnia;Aponnia;Aponnia;;Aponnia;;;;;;;;;x
d_aponnia_adj;Aponnian;;aponner;;;;;;;;;;;x
d_aquitaine;Aquitaine;Aquitaine;Aquitaine;;Aquitaine;;;;;;;;;x
d_aquitaine_adj;Aquitainean;;aquitainer;;;;;;;;;;;x
