#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_araby;Araby;Araby;Araby;;Araby;;;;;;;;;x
e_araby_adj;Arabian;;araber;;;;;;;;;;;x
e_athel_loren;Athel Loren;Athel Loren;Athel Loren;;Athel Loren;;;;;;;;;x
e_athel_loren_adj;Athel Lorenian;;Athel Lorener;;;;;;;;;;;x
e_bretonnia;Bretonnia;Bretonnia;Bretonnia;;Bretonnia;;;;;;;;;x
e_bretonnia_adj;Bretonnian;;bretonner;;;;;;;;;;;x
e_chaos_wastes;Chaos Wastes;Chaos Wastes;Chaos Wastes;;Chaos Wastes;;;;;;;;;x
e_chaos_wastes_adj;Chaos Wastesian;;Chaos Wasteser;;;;;;;;;;;x
e_darklands;Darklands;Darklands;Darklands;;Darklands;;;;;;;;;x
e_darklands_adj;Darklandsian;;darklandser;;;;;;;;;;;x
e_drak_ankor;Drak Ankor;Drak Ankor;Drak Ankor;;Drak Ankor;;;;;;;;;x
e_drak_ankor_adj;Drak Ankorian;;Drak Ankorer;;;;;;;;;;;x
e_estalia;Estalia;Estalia;Estalia;;Estalia;;;;;;;;;x
e_estalia_adj;Estalian;;estaler;;;;;;;;;;;x
e_karak_ankor;Karak Ankor;Karak Ankor;Karak Ankor;;Karak Ankor;;;;;;;;;x
e_karak_ankor_adj;Karak Ankorian;;Karak Ankorer;;;;;;;;;;;x
e_kislev;Kislev;Kislev;Kislev;;Kislev;;;;;;;;;x
e_kislev_adj;Kislevian;;kislever;;;;;;;;;;;x
e_lustria;Lustria;Lustria;Lustria;;Lustria;;;;;;;;;x
e_lustria_adj;Lustrian;;lustrer;;;;;;;;;;;x
e_naggaroth;Naggaroth;Naggaroth;Naggaroth;;Naggaroth;;;;;;;;;x
e_naggaroth_adj;Naggarothian;;naggarother;;;;;;;;;;;x
e_nehekhara;Nehekhara;Nehekhara;Nehekhara;;Nehekhara;;;;;;;;;x
e_nehekhara_adj;Nehekharan;;nehekharer;;;;;;;;;;;x
e_norsca;Norsca;Norsca;Norsca;;Norsca;;;;;;;;;x
e_norsca_adj;Norscan;;norscer;;;;;;;;;;;x
e_ogre_kingdoms;Ogre Kingdoms;Ogre Kingdoms;Ogre Kingdoms;;Ogre Kingdoms;;;;;;;;;x
e_ogre_kingdoms_adj;Ogre Kingdomsian;;Ogre Kingdomser;;;;;;;;;;;x
e_the_empire;The Empire;The Empire;The Empire;;The Empire;;;;;;;;;x
e_the_empire_adj;The Empirean;;The Empirer;;;;;;;;;;;x
e_the_under_empire;The Under-Empire;The Under-Empire;The Under-Empire;;The Under-Empire;;;;;;;;;x
e_the_under_empire_adj;The Under-Empirean;;The Under-Empirer;;;;;;;;;;;x
e_tilea;Tilea;Tilea;Tilea;;Tilea;;;;;;;;;x
e_tilea_adj;Tilean;;tiler;;;;;;;;;;;x
e_ulthuan;Ulthuan;Ulthuan;Ulthuan;;Ulthuan;;;;;;;;;x
e_ulthuan_adj;Ulthuanian;;ulthuaner;;;;;;;;;;;x
