#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_abyskhar;Abyskhar;Abyskhar;Abyskhar;;Abyskhar;;;;;;;;;x
k_abyskhar_adj;Abyskharian;;abyskharer;;;;;;;;;;;x
k_adriata;Adriata;Adriata;Adriata;;Adriata;;;;;;;;;x
k_adriata_adj;Adriatan;;adriater;;;;;;;;;;;x
k_aegos;Aegos;Aegos;Aegos;;Aegos;;;;;;;;;x
k_aegos_adj;Aegosian;;aegoser;;;;;;;;;;;x
k_albion;Albion;Albion;Albion;;Albion;;;;;;;;;x
k_albion_adj;Albionian;;albioner;;;;;;;;;;;x
k_alhaka;Alhaka;Alhaka;Alhaka;;Alhaka;;;;;;;;;x
k_alhaka_adj;Alhakan;;alhaker;;;;;;;;;;;x
k_amazonia;Amazonia;Amazonia;Amazonia;;Amazonia;;;;;;;;;x
k_amazonia_adj;Amazonian;;amazoner;;;;;;;;;;;x
k_ankor_dharkwyr;Ankor-Dharkwyr;Ankor-Dharkwyr;Ankor-Dharkwyr;;Ankor-Dharkwyr;;;;;;;;;x
k_ankor_dharkwyr_adj;Ankor-Dharkwyrian;;ankor-dharkwyrer;;;;;;;;;;;x
k_anmyr;Anmyr;Anmyr;Anmyr;;Anmyr;;;;;;;;;x
k_anmyr_adj;Anmyrian;;anmyrer;;;;;;;;;;;x
k_aquitaine;Aquitaine;Aquitaine;Aquitaine;;Aquitaine;;;;;;;;;x
k_aquitaine_adj;Aquitainean;;aquitainer;;;;;;;;;;;x
k_araz;Araz;Araz;Araz;;Araz;;;;;;;;;x
k_araz_adj;Arazian;;arazer;;;;;;;;;;;x
k_argwylon;Argwylon;Argwylon;Argwylon;;Argwylon;;;;;;;;;x
k_argwylon_adj;Argwylonian;;argwyloner;;;;;;;;;;;x
k_arnheim;Arnheim;Arnheim;Arnheim;;Arnheim;;;;;;;;;x
k_arnheim_adj;Arnheimian;;arnheimer;;;;;;;;;;;x
k_arranoc;Arranoc;Arranoc;Arranoc;;Arranoc;;;;;;;;;x
k_arranoc_adj;Arranocian;;arranocer;;;;;;;;;;;x
k_artois;Artois;Artois;Artois;;Artois;;;;;;;;;x
k_artois_adj;Artoisian;;artoiser;;;;;;;;;;;x
k_ashenfels;Ashenfels;Ashenfels;Ashenfels;;Ashenfels;;;;;;;;;x
k_ashenfels_adj;Ashenfelsian;;ashenfelser;;;;;;;;;;;x
k_astarios;Astarios;Astarios;Astarios;;Astarios;;;;;;;;;x
k_astarios_adj;Astariosian;;astarioser;;;;;;;;;;;x
k_atylwyth;Atylwyth;Atylwyth;Atylwyth;;Atylwyth;;;;;;;;;x
k_atylwyth_adj;Atylwythian;;atylwyther;;;;;;;;;;;x
k_avelorn;Avelorn;Avelorn;Avelorn;;Avelorn;;;;;;;;;x
k_avelorn_adj;Avelornian;;avelorner;;;;;;;;;;;x
k_averland;Averland;Averland;Averland;;Averland;;;;;;;;;x
k_averland_adj;Averlandian;;averlander;;;;;;;;;;;x
k_axlotl;Axlotl;Axlotl;Axlotl;;Axlotl;;;;;;;;;x
k_axlotl_adj;Axlotlian;;axlotler;;;;;;;;;;;x
k_azgorh;Azgorh;Azgorh;Azgorh;;Azgorh;;;;;;;;;x
k_azgorh_adj;Azgorhian;;azgorher;;;;;;;;;;;x
k_azril_ankor;Azril-Ankor;Azril-Ankor;Azril-Ankor;;Azril-Ankor;;;;;;;;;x
k_azril_ankor_adj;Azril-Ankorian;;azril-ankorer;;;;;;;;;;;x
k_aztrakhan;Aztrakhan;Aztrakhan;Aztrakhan;;Aztrakhan;;;;;;;;;x
k_aztrakhan_adj;Aztrakhanian;;aztrakhaner;;;;;;;;;;;x
k_azuli;Azuli;Azuli;Azuli;;Azuli;;;;;;;;;x
k_azuli_adj;Azulian;;azuler;;;;;;;;;;;x
k_badlands;Badlands;Badlands;Badlands;;Badlands;;;;;;;;;x
k_badlands_adj;Badlandsian;;badlandser;;;;;;;;;;;x
k_barak_varr;Barak Varr;Barak Varr;Barak Varr;;Barak Varr;;;;;;;;;x
k_barak_varr_adj;Barak Varrian;;Barak Varrer;;;;;;;;;;;x
