PROV1;Endring;Endring;Endring;;;;;;;;;x
PROV2;Baelkyr;Baelkyr;Baelkyr;;;;;;;;;x
PROV3;Nilfheim;Nilfheim;Nilfheim;;;;;;;;;x
PROV4;Uts;Uts;Uts;;;;;;;;;x
PROV5;Fjisgard;Fjisgard;Fjisgard;;;;;;;;;x
PROV6;Bfavark;Bfavark;Bfavark;;;;;;;;;x
PROV7;Mount Hellspire;Mount Hellspire;Mount Hellspire;;;;;;;;;x
PROV8;Finnsvik;Finnsvik;Finnsvik;;;;;;;;;x
PROV9;Kaamoas;Kaamoas;Kaamoas;;;;;;;;;x
PROV10;Steinvik;Steinvik;Steinvik;;;;;;;;;x
PROV11;Njyl;Njyl;Njyl;;;;;;;;;x
PROV12;Voltag;Voltag;Voltag;;;;;;;;;x
PROV13;Frost;Frost;Frost;;;;;;;;;x
PROV14;Vanaheim;Vanaheim;Vanaheim;;;;;;;;;x
PROV15;Raeryl;Raeryl;Raeryl;;;;;;;;;x
PROV16;Tyronim;Tyronim;Tyronim;;;;;;;;;x
PROV17;Ksidioc;Ksidioc;Ksidioc;;;;;;;;;x
PROV18;Saimaakild;Saimaakild;Saimaakild;;;;;;;;;x
PROV19;Iskvard;Iskvard;Iskvard;;;;;;;;;x
PROV20;Stavgard;Stavgard;Stavgard;;;;;;;;;x
PROV21;Iisgalt;Iisgalt;Iisgalt;;;;;;;;;x
PROV22;Tanngniost;Tanngniost;Tanngniost;;;;;;;;;x
PROV23;Trassel;Trassel;Trassel;;;;;;;;;x
PROV24;Turui;Turui;Turui;;;;;;;;;x
PROV25;Kraka Borkum;Kraka Borkum;Kraka Borkum;;;;;;;;;x
PROV26;Kraka Ungrim;Kraka Ungrim;Kraka Ungrim;;;;;;;;;x
PROV27;Kraka Uilorag;Kraka Uilorag;Kraka Uilorag;;;;;;;;;x
PROV28;Fyodravik;Fyodravik;Fyodravik;;;;;;;;;x
PROV29;Mount Barak;Mount Barak;Mount Barak;;;;;;;;;x
PROV30;Karag Fyrik;Karag Fyrik;Karag Fyrik;;;;;;;;;x
PROV31;Yelstir Hills;Yelstir Hills;Yelstir Hills;;;;;;;;;x
PROV32;Cungal Hills;Cungal Hills;Cungal Hills;;;;;;;;;x
PROV33;Hragyl;Hragyl;Hragyl;;;;;;;;;x
PROV34;Eyrir;Eyrir;Eyrir;;;;;;;;;x
PROV35;Fena;Fena;Fena;;;;;;;;;x
PROV36;Aarvik;Aarvik;Aarvik;;;;;;;;;x
PROV37;Mount Vanir;Mount Vanir;Mount Vanir;;;;;;;;;x
PROV38;Hjemsokt Skog;Hjemsokt Skog;Hjemsokt Skog;;;;;;;;;x
PROV39;Ulfsland;Ulfsland;Ulfsland;;;;;;;;;x
PROV40;Birka;Birka;Birka;;;;;;;;;x
PROV41;Thimbulvintr;Thimbulvintr;Thimbulvintr;;;;;;;;;x
PROV42;Tolum;Tolum;Tolum;;;;;;;;;x
PROV43;Ryval Passage;Ryval Passage;Ryval Passage;;;;;;;;;x
PROV44;Fyruval's Passage;Fyruval's Passage;Fyruval's Passage;;;;;;;;;x
PROV45;Ikrumal Ravine;Ikrumal Ravine;Ikrumal Ravine;;;;;;;;;x
PROV46;Jaol's Apex;Jaol's Apex;Jaol's Apex;;;;;;;;;x
PROV47;Cardariborg;Cardariborg;Cardariborg;;;;;;;;;x
PROV48;Narvaash;Narvaash;Narvaash;;;;;;;;;x
PROV49;Teeth of the Kraken;Teeth of the Kraken;Teeth of the Kraken;;;;;;;;;x
PROV50;Novgoborg;Novgoborg;Novgoborg;;;;;;;;;x
PROV51;Serulborg;Serulborg;Serulborg;;;;;;;;;x
PROV52;Norscveg;Norscveg;Norscveg;;;;;;;;;x
PROV53;Aldeigborg;Aldeigborg;Aldeigborg;;;;;;;;;x
PROV54;Sorg;Sorg;Sorg;;;;;;;;;x
PROV55;Hills of Grofnir;Hills of Grofnir;Hills of Grofnir;;;;;;;;;x
PROV56;Lars' Peninsula;Lars' Peninsula;Lars' Peninsula;;;;;;;;;x
PROV57;Isle of Gaman;Isle of Gaman;Isle of Gaman;;;;;;;;;x
PROV58;Kraka Hakut;Kraka Hakut;Kraka Hakut;;;;;;;;;x
PROV59;Kraka Untylum;Kraka Untylum;Kraka Untylum;;;;;;;;;x
PROV60;Khazid Untulum;Khazid Untulum;Khazid Untulum;;;;;;;;;x
PROV61;Drageberg;Drageberg;Drageberg;;;;;;;;;x
PROV62;Kraka Hyfol;Kraka Hyfol;Kraka Hyfol;;;;;;;;;x
PROV63;Morghaar;Morghaar;Morghaar;;;;;;;;;x
PROV64;Syrul's Pinnacle;Syrul's Pinnacle;Syrul's Pinnacle;;;;;;;;;x
PROV65;Durfang;Durfang;Durfang;;;;;;;;;x
PROV66;Jotunir;Jotunir;Jotunir;;;;;;;;;x
PROV67;Everthunder;Everthunder;Everthunder;;;;;;;;;x
PROV68;Askreved;Askreved;Askreved;;;;;;;;;x
PROV69;Staardholm;Staardholm;Staardholm;;;;;;;;;x
PROV70;Olricstaad;Olricstaad;Olricstaad;;;;;;;;;x
PROV71;Feigr;Feigr;Feigr;;;;;;;;;x
PROV72;Suderholm;Suderholm;Suderholm;;;;;;;;;x
PROV73;Stromstaad;Stromstaad;Stromstaad;;;;;;;;;x
PROV74;Skyggehaug;Skyggehaug;Skyggehaug;;;;;;;;;x
PROV75;Trollheim;Trollheim;Trollheim;;;;;;;;;x
PROV76;Everkjole;Everkjole;Everkjole;;;;;;;;;x
PROV77;Forbannet Skog;Forbannet Skog;Forbannet Skog;;;;;;;;;x
PROV78;Jarluns;Jarluns;Jarluns;;;;;;;;;x
PROV79;Kaldr;Kaldr;Kaldr;;;;;;;;;x
PROV80;Passere Brann;Passere Brann;Passere Brann;;;;;;;;;x
PROV81;Fimbulvintr Wood;Fimbulvintr Wood;Fimbulvintr Wood;;;;;;;;;x
PROV82;Fúinn;Fúinn;Fúinn;;;;;;;;;x
PROV83;Raseri Oks;Raseri Oks;Raseri Oks;;;;;;;;;x
PROV84;Erkum;Erkum;Erkum;;;;;;;;;x
PROV85;Kazad Grontunt;Kazad Grontunt;Kazad Grontunt;;;;;;;;;x
PROV86;Khazid Skovekarag;Khazid Skovekarag;Khazid Skovekarag;;;;;;;;;x
PROV87;Kraka Ornsmotek;Kraka Ornsmotek;Kraka Ornsmotek;;;;;;;;;x
PROV88;Kraka Dunkor;Kraka Dunkor;Kraka Dunkor;;;;;;;;;x
PROV89;Kazad Fundervol;Kazad Fundervol;Kazad Fundervol;;;;;;;;;x
PROV90;Fell Grjót;Fell Grjót;Fell Grjót;;;;;;;;;x
PROV91;Braka Vollr;Braka Vollr;Braka Vollr;;;;;;;;;x
PROV92;Snara Forest;Snara Forest;Snara Forest;;;;;;;;;x
PROV93;Ergren's Peninsula;Ergren's Peninsula;Ergren's Peninsula;;;;;;;;;x
PROV94;Drergen Mort;Drergen Mort;Drergen Mort;;;;;;;;;x
PROV95;Forest of Frykt;Forest of Frykt;Forest of Frykt;;;;;;;;;x
PROV96;Kazad Dumond;Kazad Dumond;Kazad Dumond;;;;;;;;;x
PROV97;Blóð Háls;Blóð Háls;Blóð Háls;;;;;;;;;x
PROV98;Rugard;Rugard;Rugard;;;;;;;;;x
PROV99;Svartblodgard;Svartblodgard;Svartblodgard;;;;;;;;;x
PROV100;Vollrvorðr;Vollrvorðr;Vollrvorðr;;;;;;;;;x
PROV101;Frossborg;Frossborg;Frossborg;;;;;;;;;x
PROV102;Snaegrvold;Snaegrvold;Snaegrvold;;;;;;;;;x
PROV103;Blindr Valley;Blindr Valley;Blindr Valley;;;;;;;;;x
PROV104;Blakkr Kadrin;Blakkr Kadrin;Blakkr Kadrin;;;;;;;;;x
PROV105;Grung Dobekzhuf;Grung Dobekzhuf;Grung Dobekzhuf;;;;;;;;;x
