#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
################CULTURES
aesling;Æsling;;;;;;;;;;;;;x
aghol;Aghol;;;;;;;;;;;;;x
albion_group;Albion;;;;;;;;;;;;;x
albion_main;Albion;;;;;;;;;;;;;x
amazon_group;Amazon;;;;;;;;;;;;;x
amazon_main;Amazon;;;;;;;;;;;;;x
arabyan_group;Arabyan;;;;;;;;;;;;;x
armoric;Armoric;;;;;;;;;;;;;x
arvani;Arvani;;;;;;;;;;;;;x
asoborn;Asoborn;;;;;;;;;;;;;x
asrai_group;Asrai;;;;;;;;;;;;;x
asthoi;Asthoi;;;;;;;;;;;;;x
astur;Astur;;;;;;;;;;;;;x
asur_group;Asur;;;;;;;;;;;;;x
avelorni;Avelorni;;;;;;;;;;;;;x
averlander;Averlander;;;;;;;;;;;;;x
avilian;Avilian;;;;;;;;;;;;;x
baersonling;Bærsonling;;;;;;;;;;;;;x
bayaji;Bayaji;;;;;;;;;;;;;x
beastman_group;Beastman;;;;;;;;;;;;;x
beastman_main;Beastman;;;;;;;;;;;;;x
beastman_ungor;Beastman;;;;;;;;;;;;;x
bjornling;Bjørnling;;;;;;;;;;;;;x
bloodletter_khorne;Bloodletter;;;;;;;;;;;;;
bourgon;Bourgon;;;;;;;;;;;;;x
breton;Breton;;;;;;;;;;;;;x
bretonnian_group;Bretonnian;;;;;;;;;;;;;x
brigundian;Brigundian;;;;;;;;;;;;;x
caledori;Caledori;;;;;;;;;;;;;x
canopic;Canopic;;;;;;;;;;;;;x
carcassian;Carcassonnaise;;;;;;;;;;;;;x
cathayan;Cathayan;;;;;;;;;;;;;x
cathayan_group;Cathayan;;;;;;;;;;;;;x
cherusen;Cherusen;;;;;;;;;;;;;x
chi_an;Chi-An;;;;;;;;;;;;;x
chracian;Chracian;;;;;;;;;;;;;x
clari;Clari;;;;;;;;;;;;;x
cophic;Cophic;;;;;;;;;;;;;x
cothiq;Cothiq;;;;;;;;;;;;;x
daemon_chaos;Chaos Undivided;;;;;;;;;;;;;x
daemon_hashut;Hashuti;;;;;;;;;;;;;x
daemon_khorne;Khornate;;;;;;;;;;;;;x
daemon_nurgle;Nurglite;;;;;;;;;;;;;x
daemon_slaanesh;Slaaneshi;;;;;;;;;;;;;x
daemon_tzeentch;Tzeentchian;;;;;;;;;;;;;x
daemonette_slaanesh;Daemonette;;;;;;;;;;;;;
daemonic_group;Daemonic;;;;;;;;;;;;;x
dolgan;Dolgan;;;;;;;;;;;;;x
draconic;Draconic;;;;;;;;;;;;;x
dragon_ogre;Dragon Ogre;;;;;;;;;;;;;x
drakwalder;Drakwalder;;;;;;;;;;;;;x
druchi_group;Druchii;;;;;;;;;;;;;x
dwarf_chaos;Chaos Dwarf;;;;;;;;;;;;;x
dwarf_chaos_group;Dawi Zharr;;;;;;;;;;;;;x
dwarf_chaos_norse;Norse Chaos Dwarf;;;;;;;;;;;;;x
dwarf_group;Dawi;;;;;;;;;;;;;x
dwarf_imperial;Imperial Dwarf;;;;;;;;;;;;;x
dwarf_main;Dwarf;;;;;;;;;;;;;x
dwarf_norse;Norse Dwarf;;;;;;;;;;;;;x
eataini;Eataini;;;;;;;;;;;;;x
eatainian;Eatainian;;;;;;;;;;;;;x
ellyrian;Ellyrian;;;;;;;;;;;;;x
elthrai;Elthrai;;;;;;;;;;;;;x
endal;Endal;;;;;;;;;;;;;x
eshin;Eshin;;;;;;;;;;;;;x
estalian_group;Estalian;;;;;;;;;;;;;x
fennone;Fennone;;;;;;;;;;;;;x
fimir;Fimir;;;;;;;;;;;;;x
fjarmann;Fjarmann;;;;;;;;;;;;;x
flamer_tzeentch;Flamer;;;;;;;;;;;;;
forest_group;Forest Spirit;;;;;;;;;;;;;x
forest_main;Loren Spirit;;;;;;;;;;;;;x
galice;Galice;;;;;;;;;;;;;x
ganethi;Ganethi;;;;;;;;;;;;;x
gascon;Gascon;;;;;;;;;;;;;x
gharhar;Gharhar;;;;;;;;;;;;;x
ghrondari;Ghrondari;;;;;;;;;;;;;x
giant;Giant;;;;;;;;;;;;;x
gisoren;Gisoren;;;;;;;;;;;;;x
goblin_group;Goblin;;;;;;;;;;;;;x
goblin_main;Goblin;;;;;;;;;;;;;x
goblin_forest;Forest Goblin;;;;;;;;;;;;;x
goblin_night;Night Goblin;;;;;;;;;;;;;x
hobgoblin;Hobgoblin;;;;;;;;;;;;;x
gospodar;Gospodar;;;;;;;;;;;;;x
graefi;Graefi;;;;;;;;;;;;;x
graeling;Græling;;;;;;;;;;;;;x
halfling_lustrian;Lustrian Halfling;;;;;;;;;;;;;x
halfling_old_world;Old World Halfling;;;;;;;;;;;;;x
hastling;Hastling;;;;;;;;;;;;;x
hexaotl;Hexaotl;;;;;;;;;;;;;x
hochlander;Hochlander;;;;;;;;;;;;;x
hung_group;Hung;;;;;;;;;;;;;x
immortal_group;Immortal;;;;;;;;;;;;;x
imperial_group;Imperial;;;;;;;;;;;;;x
indish;Indish;;;;;;;;;;;;;x
itza;Itza;;;;;;;;;;;;;x
juton;Juton;;;;;;;;;;;;;x
karondi;Karondi;;;;;;;;;;;;;x
kashite;Kashite;;;;;;;;;;;;;x
khazag;Khazag;;;;;;;;;;;;;x
khemrian;Khemrian;;;;;;;;;;;;;x
kislevite;Kislevite;;;;;;;;;;;;;x
kislevite_group;Kislevite;;;;;;;;;;;;;x
kuj;Kuj;;;;;;;;;;;;;x
kul;Kul;;;;;;;;;;;;;x
kurgan_group;Kurgan;;;;;;;;;;;;;x
kvellig;Kvellig;;;;;;;;;;;;;x
kyazak;Kyazak;;;;;;;;;;;;;x
kynthi;Kynthi;;;;;;;;;;;;;x
lahmian;Lahmian;;;;;;;;;;;;;x
lahmian_group;Lahmian;;;;;;;;;;;;;x
lakugan;Lakugan;;;;;;;;;;;;;x
lathai;Lathai;;;;;;;;;;;;;x
laurelornalim;Laurelornalim;;;;;;;;;;;;;x
lizardman;Lizardman;;;;;;;;;;;;;x
lizardman_group;Lizardman;;;;;;;;;;;;;x
lizardman_lost;Lost Lizardman;;;;;;;;;;;;;x
lizardman_southland;Southland Lizardman;;;;;;;;;;;;;x
lodringen;Lodringen;;;;;;;;;;;;;x
loren;Loren;;;;;;;;;;;;;x
lucian;Lucian;;;;;;;;;;;;;x
man_chu;Man-Chu;;;;;;;;;;;;;x
marcheur;Marcheur;;;;;;;;;;;;;x
medean;Medean;;;;;;;;;;;;;x
menogoth;Menogoth;;;;;;;;;;;;;x
merogen;Merogen;;;;;;;;;;;;;x
middenlander;Middenlander;;;;;;;;;;;;;x
miraglian;Miraglian;;;;;;;;;;;;;x
miyan;Miyan;;;;;;;;;;;;;x
monstrous_group;Monstrous;;;;;;;;;;;;;x
montanese;Montanese;;;;;;;;;;;;;x
mootlander;Mootlander;;;;;;;;;;;;;x
moulder;Moulder;;;;;;;;;;;;;x
mousillonian;Mousillonian;;;;;;;;;;;;;x
mung;Mung;;;;;;;;;;;;;x
myken;Myken;;;;;;;;;;;;;x
myken_group;Myken;;;;;;;;;;;;;x
nagarythi;Nagarythi;;;;;;;;;;;;;x
naggarondi;Naggarondi;;;;;;;;;;;;;x
nehekharan;Nehekharan;;;;;;;;;;;;;x
nehekharan_group;Nehekharan;;;;;;;;;;;;;x
neueslander;Neuesländisch;;;;;;;;;;;;;x
nipponese;Nipponese;;;;;;;;;;;;;x
nipponese_group;Nipponese;;;;;;;;;;;;;x
noculture;No Culture;;;;;;;;;;;;;x
nordlander;Nordlander;;;;;;;;;;;;;x
norscan_group;Norscan;;;;;;;;;;;;;x
nortagnese;Nortagnese;;;;;;;;;;;;;x
norteno;Norteno;;;;;;;;;;;;;x
obregonese;Obregonese;;;;;;;;;;;;;x
ogre_group;Ogre;;;;;;;;;;;;;x
ogre_main;Ogre;;;;;;;;;;;;;x
old_breton;Old Breton;;;;;;;;;;;;;x
old_imperial;Old Imperial;;;;;;;;;;;;;x
oltremari;Oltremari;;;;;;;;;;;;;x
orc_group;Orc;;;;;;;;;;;;;x
orc_main;Orc;;;;;;;;;;;;;x
orc_savage;Savage Orc;;;;;;;;;;;;;x
oriental_group;Oriental;;;;;;;;;;;;;x
ostagoth;Ostagoth;;;;;;;;;;;;;x
ostermarker;Ostermarker;;;;;;;;;;;;;x
ostlander;Ostlander;;;;;;;;;;;;;x
pestilens;Pestilens;;;;;;;;;;;;;x
plaguebearer_nurgle;Plaguebearer;;;;;;;;;;;;;
ramaccan;Ramaccan;;;;;;;;;;;;;x
reiklander;Reiklander;;;;;;;;;;;;;x
reman;Reman;;;;;;;;;;;;;x
ropsmann;Ropsmann;;;;;;;;;;;;;x
sapherian;Sapherian;;;;;;;;;;;;;x
sarl;Sarl;;;;;;;;;;;;;x
sartosan_arabyan;Arabyan-Sartosan;;;;;;;;;;;;;x
sartosan_group;Sartosan;;;;;;;;;;;;;x
sartosan_norscan;Norscan-Sartosan;;;;;;;;;;;;;x
sartosan_tilean;Tilean-Sartosan;;;;;;;;;;;;;x
skaeling;Skæling;;;;;;;;;;;;;x
