#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
####Muslim to Ormazdic stuff;;;;;;;;;;;;;x
###Hajj;;;;;;;;;;;;;x
go_on_hajj;Go on pilgrimage to Martek;Partir en pèlerinage à La Mecque;Geht auf Hadsch nach Mekka ;;Ir al Hajj a La Meca;;;;;;;;;x
go_on_hajj_desc;Going on a pilgrimage to the House of the One in Martek is one of the greatest rites of Ormazd, and this is something every able-bodied Ormazdic is expected to do once in his life. Decadent characters will get rid of the trait.;Réaliser un pèlerinage à La Mecque fait partie des cinq piliers de l'Islam. C'est une chose que tout musulman valide se doit de faire au moins une fois dans sa vie.;Auf Wallfahrt nach Mekka zu gehen, ist eine der Säulen des Islam und es ist etwas,was von jedem nicht beeinträchtigten Moslem einmal in seinem Leben erwartet wird. ;;Ir de peregrinación hacia La Meca es uno de los pilares del islam,  y es algo que todo musulmán que esté en condiciones físicas de hacerlo debe hacer una vez en su vida.;;;;;;;;;x
opinion_hajj_promised;Promised to go on pilgrimage.;A promis de faire le Hajj.;Hat versprochen auf Hadsch zu gehen.;;Prometió ir de Hajj.;;;;;;;;;x
opinion_bring_on_hajj;Became Pilgrims together;Ont fait le Hajj ensemble.;Wurden beide Hadsch;;Convertidos en Hajjaj juntos;;;;;;;;;x
opinion_attepmt_hajj;Berated me about pilgrimage;M'a réprimandé au sujet du Hajj.;Scholt mich wegen Hadsch;;Me amonestó acerca de la Hajj;;;;;;;;;x
opinion_declined_hajj;Declined pilgrimage;A décliné l'invitation de faire le Hajj.;Lehnte Hadsch ab;;Rechazó la Hajj;;;;;;;;;x
opinion_refused_hajj;Refused to go on a pilgrimage with me;A refusé de faire le Hajj avec moi.;Weigerte sich mit mir auf Hadsch zu gehen;;Se negó a hacer la Hajj conmigo;;;;;;;;;x
opinion_hajj_saved_from_bandit;Saved from bandits at a pilgrimage;A été sauvé des bandits pendant le Hajj.;Rettete ihn vor Banditen auf Hadsch;;Salvado de bandidos en la Hajj;;;;;;;;;x
opinion_hajj_saving_on_hajj;Saved from bandits;L'a sauvé des bandits.;Rettete ihn vor Banditen ;;Le salvé de los bandidos;;;;;;;;;x
opinion_hajj_attempt_murder;Broke Truce of the pilgrimage;A rompu la trêve du Hajj.;Hat den Waffenstillstand des Hadsch gebrochen;;Rompió Tregua de la Hajj;;;;;;;;;x
opinion_hajj_rivalry_mended;Positive talk on the pilgrimage;Discours positif à propos du Hajj.;Positives Gespräch auf Hadsch;;Charla positiva sobre la Hajj;;;;;;;;;x
EVTDESC86000;You have started to prepare yourself for going on a pilgrimage to Martek. Soon you will humble yourself and travel in a group with others to fulfill one of the main rites of the cult of Ormazd.;Vous vous préparez à partir en pèlerinage à la Mecque. Très vite, vous ferez preuve d'humilité et voyagerez en groupe avec d'autres compagnons pour réaliser l'un des cinq piliers de l'Islam.;Ihr habt Euch auf eine Wallfahrt nach Mekka vorbereitet. Bald werdet Ihr Euch erniedrigen und mit anderen in einer Gruppe reisen, um einen Pfeiler des Islams zu erfüllen.;;Has comenzado a prepararte para ir de peregrinación a La Meca. Pronto mostrarás humildad y viajarás con otros para completar uno de los cinco pilares del islam.;;;;;;;;;x
EVTOPTA86000;All are equal before the One!;Nous sommes tous égaux aux yeux de Dieu !;Vor Gott sind alle gleich!;;¡Todos son iguales ante los ojos de Dios!;;;;;;;;;x
EVTDESC86001;I am preparing myself for my travel to Martek, and I have understood that there are members of my court that have not yet gone on a pilgrimage to Martek. As [Root.PrimaryTitle.GetRulerTitle], it is my duty to be charitable to my people, and I will bring one of them with me.;Je me prépare à effectuer mon voyage jusqu'à La Mecque et j'ai entendu que de nombreux membres de ma cour ne sont jamais partis en pèlerinage à La Mecque. En tant que [Root.PrimaryTitle.GetRulerTitle], je me dois d'être charitable envers mes gens, et j'ai décidé d'emmener l'un d'eux avec moi.;Ich bereite mich auf meine Reise nach Mekka vor und habe festgestellt, dass es Mitglieder meines Hofes gibt, die bisher noch nicht auf eine Wallfahrt nach Mekka gegangen sind. Als [Root.PrimaryTitle.GetRulerTitle] ist es meine Pflicht, barmherzig zu meinem Volk zu sein, und werde einen von ihnen mit mir nehmen. ;;Me estoy preparando para mi viaje a La Meca, y he comprendido que hay miembros de mi corte que todavía no han hecho la peregrinación a La Meca. Como [Root.PrimaryTitle.GetRulerTitle], es mi deber ser generoso con mi gente y llevaré a uno de ellos conmigo.;;;;;;;;;x
EVTOPTA86001;It will make travel more enjoyable...;Cela égaiera le voyage...;Es wird die Reise reizvoller machen...;;Hará el viaje más placentero...;;;;;;;;;x
EVTOPTB86001;It is too costly...;C'est trop onéreux...;Das ist zu kostspielig...;;Es demasiado costoso...;;;;;;;;;x
EVTDESC86010;While preparing for my pilgrimage to Martek, I have come to realize that [Root.Liege.GetTitledName] is not a Pilgrim.;Alors que je me préparais pour mon voyage vers La Mecque, je me suis rendu compte que [Root.Liege.GetTitledName] n'avait jamais fait le Hajj.;Während meiner Vorbereitungen der Wallfahrt nach Mekka wurde mir klar, dass [Root.Liege.GetTitledName] kein Wallfahrer nach Mekka ist.;;Mientras me preparo para mi peregrinación a La Meca, me he dado cuenta de que [Root.Liege.GetTitledName] no es un Hajjaj.;;;;;;;;;x
EVTOPTA86010;Berate [Root.Liege.GetHerHim] about it!;Le réprimander pour ce grave manquement !;Scheltet ihn deswegen!;;¡Repréndelo por ello!;;;;;;;;;x
EVTTOOLTIP86011;will listen to us...;nous écoutera...;wird auf uns hören...;;nos escuchará...;;;;;;;;;x
EVTOPTB86010;Clearly, [Root.Liege.GetSheHe] is a busy man...;C'est un homme très occupé...;Er ist wahrlich ein beschäftigter Mann...;;Es obvio que es un hombre ocupado...;;;;;;;;;x
EVTDESC86011;My beloved [Root.GetTitle]!\n I am preparing to go to Martek on a pilgrimage. Sadly, rumors tell me that you have not gone on a pilgrimage yourself. Would you like to travel with me, your faithful servant?\nYour humble [From.GetTitledName];Mon cher [Root.GetTitle] !\nJe me prépare à partir pour La Mecque pour mon grand pèlerinage. Malheureusement, des rumeurs disent que vous-même ne vous y êtes jamais rendu? Aimeriez-vous m'accompagner en tant que fidèle serviteur ?\nVotre humble [From.GetTitledName];Mein geliebter [Root.GetTitle]!\n Ich bereite mich darauf vor auf einen Hadsch nach Mekka zu gehen. Leider ist mir Gerüchte zu Ohren gekommen, dass Ihr selbst bisher noch nicht an einer Wallfahrt teilgenommen habt. Möchtet Ihr mit mir reisen, Eurem getreuen Diener?\nEuer demütiger [From.GetTitledName];;Mi querido [Root.GetTitle]\n Me estoy preparando para ir a La Meca en la Hajj. Lamentablemente,  los rumores dicen que tú no has ido a hacer la peregrinación. ¿Te gustaría viajar conmigo, tu fiel sirviente? \nSu humilde [From.GetTitledName];;;;;;;;;x
