#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
January;Nachhexen (1);Janvier;Januar;Styczeñ;Enero;Gennaio;Január;Leden;;;;;;x
February;Jahrdrung (2);Février;Februar;Luty;Febrero;Febbraio;Február;Únor;;;;;;x
March;Pflugzeit (3);Mars;März;Marzec;Marzo;Marzo;Március;Bøezen;;;;;;x
April;Sigmarzeit (4);Avril;April;Kwiecieñ;Abril;Aprile;Április;Duben;;;;;;x
May;Sommerzeit (5);Mai;Mai;Maj;Mayo;Maggio;Május;Kvìten;;;;;;x
June;Vorgeheim (6);Juin;Juni;Czerwiec;Junio;Giugno;Június;Èerven;;;;;;x
July;Nachgeheim (7);Juillet;Juli;Lipiec;Julio;Luglio;Július;Èervenec;;;;;;x
August;Erntzeit (8);Août;August;Sierpieñ;Agosto;Agosto;Augusztus;Srpen;;;;;;x
September;Brauzeit (9);Septembre;September;Wrzesieñ;Septiembre;Settembre;September;Záøí;;;;;;x
October;Kaldezeit (10);Octobre;Oktober;PaŸdziernik;Octubre;Ottobre;Október;Øíjen;;;;;;x
November;Ulriczeit (11);Novembre;November;Listopad;Noviembre;Novembre;November;Listopad;;;;;;x
December;Vorhexen (12);Décembre;Dezember;Grudzieñ;Diciembre;Dicembre;December;Prosinec;;;;;;x
Sunday;Sunday;Dimanche;Sonntag;Nd;Domingo;Domenica;Vasárnap;Nedìle;;;;;;x
Monday;Monday;Lundi;Montag;Pn;Lunes;Lunedì;Hétfõ;Pondìlí;;;;;;x
Tuesday;Tuesday;Mardi;Dienstag;Wt;Martes;Martedì;Kedd;Úterý;;;;;;x
Wednesday;Wednesday;Mercredi;Mittwoch;Œr;Miércoles;Mercoledì;Szerda;Støeda;;;;;;x
Thursday;Thursday;Jeudi;Donnerstag;Cz;Jueves;Giovedì;Csütörtök;Ètvrtek;;;;;;x
Friday;Friday;Vendredi;Freitag;Pt;Viernes;Venerdì;Péntek;Pátek;;;;;;x
Saturday;Saturday;Samedi;Samstag;So;Sábado;Sabato;Szombat;Sobota;;;;;;x
marsh;Marsh;;;;;;;;;;;;;x
wasteland;Wasteland;;;;;;;;;;;;;x
mountain_pass;Mountain Pass;;;;;;;;;;;;;x
impassable_mountains;Impassable Mountains;;;;;;;;;;;;;x,
#Bookmarks
#BM_NORTHERN_MERCANTILE_SOCIETY;The Northern Mercantile Society;;;;;;;;;;;;;x
#BM_NORTHERN_MERCANTILE_SOCIETY_DESC;In a bid to regain some of the trade lost from the secession of Marienburg, the Electors of Hochland, Ostland and Nordland have funded the foundation of a new merchant league in the Sea of Claws. Based in the towns of Neues Emskrank and Salkalten, Jens-Peter hopes to build a profitable enterprise in the northern Empire. With fierce opposition from the established powers in Marienburg and Erengrad, the survival of the Northern Mercantile Society is not guaranteed.;;;;;;;;;;;;;x,,,,,
PICK_STARTING_ERA_TEXT;Choose your region.;;;;;;;;;;;;;x
PICK_ERA_YEAR;$YEAR$ I.C.;;;;;;;;;;;;;x
BM_VAMPIRE_WARS;The Vampire Wars;;;;;;;;;;;;;x
BM_VAMPIRE_WARS_ERA;The Vampire Wars;;;;;;;;;;;;;x
BM_VAMPIRE_WARS_ERA_INFO;A History of the Empire: \nCHAPTER II: \nDESINTEGRATION AND COLLAPSE \nCONCERNING THE VAMPIRE WARS \n“The turn of the millennium was a time of great change in the Empire, heralded in an ominous fashion when the city of Mordheim was destroyed by a warpstone meteor, at the stroke of midnight. Since 1359 IC, the Empire had been naught but a fading dream, with several claimants continuously disputing their right to rule, by pen and sword, and in the fateful Geheimnisnatch of 2010 IC a new threat arose from the most unexpected of places…” \n-Grand Theogonist Volkmar;;;;;;;;;;;;;x ,,
BM_REALMS_CHAOS;Realms of Chaos;;;;;;;;;;;;;x
BM_REALMS_CHAOS_ERA;Realms of Chaos;;;;;;;;;;;;;x
BM_REALMS_CHAOS_ERA_INFO;The lands of the distant north are not just cold and savage. Beyond the merely mundane threats, the polar Warp Gates connect directly to the Realm of Chaos and lets loose the empyrean horror that strains at reality. The touch of the Warp waxes and wanes with foul vigour, mutating the landscape, empowering the evil, and driving the righteous to madness. The barbaric Kurgan and Hung revel in this twisting energy, seeking the favour of the dark gods of Chaos, while the Norscans reave their way south for plunder and glory. Ostensibly 'civilised' societies are not immune to the touch of Chaos either, as the Dark Gods find ready adherants in all creeds and cultures. One merely has to be desperate or lucky enough to attract their gaze and begin a new life on the path of glory.;;;;;;;;;;;;;x,,
LATE_MED;Blood of Ancients;;;;;;;;;;;;;x
LATE_MED_INFO;In Ulthuan, the Phoenix King Bel-Hathor of Saphery decided to send an expedition to the Old World for the first time in centuries. Lead by Finubar, Prince of Eataine, the expedition established contact and trade with many of the civilized nations they found there. In cold Naggaroth, Malekith, the Witch King, sent raiders and ambassadors to the four corners of the world, hoping to grow his wealth and influence and sabotage the efforts of the Phoenix King.;;;;;;;;;;;;;x,,
BM_FATE_OF_ENGLAND;The Vampire Wars;;;;;;;;;;;;;x
BM_VAMPIRE;The Vampire Wars;;;;;;;;;;;;;x
BM_VAMPIRE_DESC;The turn of the millennium was a time of great change and upheaval in what was left of the Empire. It was heralded in an ominous fashion when the city of Mordheim was destroyed by a warpstone meteor at the stroke of midnight. For over six centuries the Empire had been in a state of civil war, with each of claimants to the Imperial throne making war upon any who would deny their right to rule. This infighting would prove to have disastrous consequences, as heresy and corruption of all kinds festered and grew in the absence of any unified strength.;;;;;;;;;;;;;x
BM_THE_MONGOLS;Realms of Chaos;;;;;;;;;;;;;x
BM_CHAOS;Realms of Chaos;;;;;;;;;;;;;x
BM_CHAOS_DESC;The lands of the distant north are not just cold and savage. Beyond the merely mundane threats, the polar Warp Gates connect directly to the Realm of Chaos and lets loose the empyrean horror that strains at reality. The touch of the Warp waxes and wanes with foul vigour, mutating the landscape, empowering the evil, and driving the righteous to madness. The barbaric Kurgan and Hung revel in this twisting energy, seeking the favour of the dark gods of Chaos, while the Norscans reave their way south for plunder and glory. Ostensibly 'civilised' societies are not immune to the touch of Chaos either, as the Dark Gods find ready adherants in all creeds and cultures. One merely has to be desperate or lucky enough to attract their gaze and begin a new life on the path of glory.;;;;;;;;;;;;;x,,
BM_100_YEARS_WAR;Blood of Ancients;;;;;;;;;;;;x
BM_ANCIENTS;Blood of Ancients;;;;;;;;;;;;;x
BM_ANCIENTS_ERA;Blood of Ancients;;;;;;;;;;;;;x
BM_ANCIENTS_ERA_INFO;In Ulthuan, the Phoenix King Bel-Hathor of Saphery decided to send an expedition to the Old World for the first time in centuries. Led by Finubar, Prince of Eataine, the expedition established contact and trade with many of the civilized nations they found there. In cold Naggaroth, Malekith, the Witch King, sent raiders and ambassadors to the four corners of the world, hoping to grow his wealth and influence and sabotage the efforts of the Phoenix King. Meanwhile High King Alrik of Karaz-a-Karak ponders on the Dwarf grudges yet to be settled, and High Priest Astragoth directs the wicked industry of the Chaos Dwarfs from Zharr-Naggrund, the City of Fire and Desolation, in the name of the Bullfather Hashut...;;;;;;;;;;;;;x,,
