#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
war_elephants;War Beasts;;;;;;;;;;;;x
war_elephants_offensive;War Beasts Offensive;;;;;;;;;;;;x
war_elephants_defensive;War Beasts Defensive;;;;;;;;;;;;x
war_elephants_morale;War Beasts Morale;;;;;;;;;;;;x
tp_wall_q_1;Temple Fortifications;Fortifications de l'église;Kirchen-Befestigung;;Fortificaciones de la Iglesia;;;;;;;;;x
tp_wall_q_2;Temple Fortifications;Fortifications de l'église;Kirchen-Befestigung;;Fortificaciones de la Iglesia;;;;;;;;;x
tp_wall_q_3;Temple Fortifications;Fortifications de l'église;Kirchen-Befestigung;;Fortificaciones de la Iglesia;;;;;;;;;x
tp_wall_q_4;Temple Fortifications;Fortifications de l'église;Kirchen-Befestigung;;Fortificaciones de la Iglesia;;;;;;;;;x
tp_wall_q_5;Temple Fortifications;Fortifications de l'église;Kirchen-Befestigung;;Fortificaciones de la Iglesia;;;;;;;;;x
tp_wall_1;Temple Walls;Murailles de l'église;Kirchenmauern;;Muros de la Iglesia;;;;;;;;;x
tp_wall_2;Temple Walls;Murailles de l'église;Kirchenmauern;;Muros de la Iglesia;;;;;;;;;x
tp_wall_3;Temple Walls;Murailles de l'église;Kirchenmauern;;Muros de la Iglesia;;;;;;;;;x
tp_wall_4;Temple Walls;Murailles de l'église;Kirchenmauern;;Muros de la Iglesia;;;;;;;;;x
tp_wall_5;Temple Walls;Murailles de l'église;Kirchenmauern;;Muros de la Iglesia;;;;;;;;;x
tp_monastery_1;Temple;Église;Kirche;;Iglesia;;;;;;;;;x
tp_monastery_2;Temple;Église;Kirche;;Iglesia;;;;;;;;;x
tp_monastery_3;Temple;Église;Kirche;;Iglesia;;;;;;;;;x
tp_monastery_4;Great Temple;Abbaye;Kathedrale;;Catedral;;;;;;;;;x
tp_monastery_5;Great Temple;Abbaye;Kathedrale;;Catedral;;;;;;;;;x
tp_monastery_6;Great Temple;Abbaye;Kathedrale;;Catedral;;;;;;;;;x
tp_town_1;Temple Town;Bourg;Kirchenstädtchen;;Pueblo de iglesia;;;;;;;;;x
tp_town_2;Temple Town;Bourg;Kirchenstädtchen;;Pueblo de iglesia;;;;;;;;;x
tp_town_3;Temple Town;Bourg;Kirchenstädtchen;;Pueblo de iglesia;;;;;;;;;x
tp_town_4;Temple Town;Bourg;Kirchenstädtchen;;Pueblo de iglesia;;;;;;;;;x
tp_town_5;Temple Town;Bourg;Kirchenstädtchen;;Pueblo de iglesia;;;;;;;;;x
tp_town_6;Temple Town;Bourg;Kirchenstädtchen;;Pueblo de iglesia;;;;;;;;;x
tp_school_1;Temple School;École monastique;Klosterschule;;Escuela monástica;;;;;;;;;x
tp_school_2;Temple University;École cathédrale;Domschule;;Colegio catedralicio;;;;;;;;;x
tp_wall_q_1_desc;This shallow moat surrounding the temple provides another obstacle for attackers to overcome.;Ces douves peu profondes entourant l'église forment un autre obstacle à surmonter pour les assaillants.;Dieser seichte Burggraben, der die Kirche umgibt, bietet ein weiteres Hindernis, das Angreifer überwinden müssen. ;;El poco profundo foso que rodea la iglesia es un obstáculo más que los atacantes deben superar.;;;;;;;;;x
tp_wall_q_2_desc;This gatehouse defends the entrance to the temple, and makes it easier to control who comes in and who leaves.;Ce corps-de-garde protège l'entrée de l'église. Il est ainsi plus simple de contrôler qui y entre et qui en sort.;Dieses Pförtnerhaus verteidigt den Eingang der Kirche und vereinfacht die Kontrolle darüber, wer reinkommt und wer geht.;;Esta puerta defiende la entrada de la iglesia y permite controlar más fácilmente quién entra y quién sale. ;;;;;;;;;x
tp_wall_3_desc;These stone walls surround the temple and must be overcome by any attacker.;Ces murs de pierre entourent l'église et doivent être surmontés par tout attaquant.;Diese Steinmauern umgeben die Kirche und müssen von jedem Angreifer überwunden werden. ;;Estas murallas de piedra rodean la iglesia y deben ser superadas por cualquier atacante.;;;;;;;;;x
tp_wall_4_desc;These large walls surround the temple and must be overcome by any attacker.;Ces grands murs de pierre entourent l'église et doivent être surmontés par tout attaquant.;Diese großen Mauern umgeben die Kirche und müssen erst von jedem Angreifer überwunden werden. ;;Estas grandes murallas rodean la iglesia y deben ser superadas por cualquier atacante.;;;;;;;;;x
tp_wall_5_desc;These massive walls surround the temple and must be overcome by any attacker.;Ces massifs murs de pierre entourent l'église et doivent être surmontés par tout attaquant.;Diese massiven Mauern umgeben die Kirche und müssen erst von jedem Angreifer überwunden werden. ;;Estas enormes murallas rodean la iglesia y deben ser superadas por cualquier atacante.;;;;;;;;;x
