#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTNAME_MNM_9835;Ring of Persuasion;;;;;;;;;;;;;x
EVTDESC_MNM_9835;Having returned from [relic_hunter.GetHerHis] artifact hunt, [relic_hunter.GetTitledFirstName] hands you a small ebony box. The relic hunter found a ring of persuasion which will help your diplomatic skills. Will you reward the hunter?;;;;;;;;;;;;;x
EVTNAME_MNM_9836;Amulet of Protection;;;;;;;;;;;;;x
EVTDESC_MNM_9836;Having returned from [relic_hunter.GetHerHis] artifact hunt, [relic_hunter.GetTitledFirstName] hands you a small ebony box. The relic hunter found an amulet of protection which will help protect you from danger. Will you reward the hunter?;;;;;;;;;;;;;x
EVTNAME_MNM_9837;Potion of Strength;;;;;;;;;;;;;x
EVTDESC_MNM_9837;Having returned from [relic_hunter.GetHerHis] artifact hunt, [relic_hunter.GetTitledFirstName] hands you a small ebony box. The relic hunter found an a potion which will make you stronger. Will you reward the hunter?;;;;;;;;;;;;;x
EVTNAME_MNM_9838;Potion of Speed;;;;;;;;;;;;;x
EVTDESC_MNM_9838;Having returned from [relic_hunter.GetHerHis] artifact hunt, [relic_hunter.GetTitledFirstName] hands you a small ebony box. The relic hunter found an a potion which will make you faster. Will you reward the hunter?;;;;;;;;;;;;;x
EVTNAME_MNM_9839;Potion of Healing;;;;;;;;;;;;;x
EVTDESC_MNM_9839;Having returned from [relic_hunter.GetHerHis] artifact hunt, [relic_hunter.GetTitledFirstName] hands you a small ebony box. The relic hunter found an a potion which can heal injuries and afflictions. Will you reward the hunter?;;;;;;;;;;;;;x
EVTNAME_MNM_9840;Runeblade;;;;;;;;;;;;;x
EVTDESC_MNM_9840;Having returned from [relic_hunter.GetHerHis] artifact hunt, [relic_hunter.GetTitledFirstName] hands a long object draped in cloth. The cloth drops to revel a finely forged sword, with ancient runes engraved. A fine weapon. Will you reward the hunter?;;;;;;;;;;;;;x
EVTNAME_MNM_9841;Enchanted blade;;;;;;;;;;;;;x
EVTDESC_MNM_9841;Having returned from [relic_hunter.GetHerHis] artifact hunt, [relic_hunter.GetTitledFirstName] hands a long object draped in cloth. The cloth drops to revel a finely forged sword. Energy radiates from this powerful weapon. Will you reward the hunter?;;;;;;;;;;;;;x
EVTNAME_MNM_9804;Razor Standard;;;;;;;;;;;;;x
EVTDESC_MNM_9804;Having returned from [relic_hunter.GetHerHis] artifact hunt, [relic_hunter.GetTitledFirstName] hands a piece of cloth. Before long, you realise this is a battle standard with powerful magic woven into it. Will you reward the hunter?;;;;;;;;;;;;;x
EVTNAME_MNM_9806;Crown of Command;;;;;;;;;;;;;x
EVTDESC_MNM_9806;Having returned from [relic_hunter.GetHerHis] artifact hunt, [relic_hunter.GetTitledFirstName] hands you a small ebony box. The relic hunter found an a magical crown. Will you reward the hunter?;;;;;;;;;;;;;x
EVTNAME_MNM_9807;Enchanted blade;;;;;;;;;;;;;x
EVTDESC_MNM_9807;Having returned from [relic_hunter.GetHerHis] artifact hunt, [relic_hunter.GetTitledFirstName] hands a long object draped in cloth. The cloth drops to revel a finely forged sword. Energy radiates from this powerful weapon. Will you reward the hunter?;;;;;;;;;;;;;x
EVTNAME_MNM_9820;Flying Carpet;;;;;;;;;;;;;x
EVTDESC_MNM_9820;Having returned from [relic_hunter.GetHerHis] artifact hunt, [relic_hunter.GetTitledFirstName] hands an old dusty piece of cloth. Dropping it in surprise, you realise that it does not foll to the ground, but remains floating in mid-air. It seems a famed flying carpet has been found! Will you reward the hunter?;;;;;;;;;;;;;x
EVTNAME_MNM_9821;Wailing Standard;;;;;;;;;;;;;x
EVTDESC_MNM_9821;Having returned from [relic_hunter.GetHerHis] artifact hunt, [relic_hunter.GetTitledFirstName] hands a piece of cloth. Before long, you realise this is a battle standard with powerful magic woven into it. Will you reward the hunter?;;;;;;;;;;;;;x
EVTNAME_MNM_9822;Standard of Discipline;;;;;;;;;;;;;x
EVTDESC_MNM_9822;Having returned from [relic_hunter.GetHerHis] artifact hunt, [relic_hunter.GetTitledFirstName] hands a piece of cloth. Before long, you realise this is a battle standard with powerful magic woven into it. Will you reward the hunter?;;;;;;;;;;;;;x
EVTDESC_MNM_9115b;My [Root.job_marshal.GetJobTitle] [Root.job_marshal.GetDynName] has told me about a an hidden old vampire residing in [neighbor_province.GetName]. Rumour has it that he was once known as a great artisan, forging great weapons. [Root.job_marshal.GetSheHeCap] suggested that it may be possible to convice him to crte something nice for you, given enough payment.;;;;;;;;;;;;;x
EVTDESC_MNM_9115c;Our boyz fount dis git over there. 'E sayz he can make "magick" choppas and stabbas. What do we do do Boss?;;;;;;;;;;;;;x
EVTDESC_MNM_9115d;Master-master! We have good news, yes-yes! A warlock nearby says he know how to steal some things from stupid-stupid dwarfthings and elfthings! And then he will tweak-quick-fix-fix it and make it better! But he says it will cost quite some tokens, yes.;;;;;;;;;;;;;x
EVTDESC_MNM_9115e;A caravan of Dawi-Zharr has stopped nearby. An infamous Daemonsmith is among them, well known for great weapons forged of the finest metal and bound with the powerful daemons. Should we take the opportunity, and request him forge soomething for us? ;;;;;;;;;;;;;x
EVTOPTA_MNM_9118;A sword;;;;;;;;;;;;;x
EVTOPTB_MNM_9118;A special weapon;;;;;;;;;;;;;x
EVTOPTD_MNM_9118;Armor;;;;;;;;;;;;;x
EVTOPTE_MNM_9118;Helmet;;;;;;;;;;;;;x
