#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
patrolyourlands;Patrol Your Lands;;;;;;;;;;;;;x
patrolyourlands_desc;Head out on patrol, who knows what's lurking.;;;;;;;;;;;;;x
returntoyourcastle;Return to Your Castle;;;;;;;;;;;;;x
returntoyourcastle_desc;Time to drop what your doing and make way to your castle.;;;;;;;;;;;;;x
goonthegrailquest;Go on the Grail Quest;;;;;;;;;;;;;x
goonthegrailquest_desc;Travel the world to ferret out injustice and defeat the enemies of the Land and Lady.;;;;;;;;;;;;;x
seektobecomeeverchosen;Seek to Become Everchosen;;;;;;;;;;;;;x
seektobecomeeverchosen_desc;The Everchosen, also known as the Lord of the End Times, is a mortal champion behind whom all the Chaos Gods unite. War and death, famine and plague follow this great warrior wherever they tread, and nature itself abhors their presence.;;;;;;;;;;;;;x
servenurgle;Serve Nurgle;;;;;;;;;;;;;x
servenurgle_desc;Grand Father Nurgle, I give you my body for life eternal!;;;;;;;;;;;;;x
serveslaanesh;Serve Slaanesh;;;;;;;;;;;;;x
serveslaanesh_desc;Oh Prince of Pleasure, let me revel in your excess!;;;;;;;;;;;;;x
servekhorne;Serve Khorne;;;;;;;;;;;;;x
servekhorne_desc;Lord of Slaughter, bring me more foes!;;;;;;;;;;;;;x
servetzeentch;Serve Tzeentch;;;;;;;;;;;;;x
servetzeentch_desc;Master of Fate, show me the strands of fate so I might shape the flow of destiny...;;;;;;;;;;;;;x
goraiding;Go Raiding;;;;;;;;;;;;;x
goraiding_desc;Take from the weak!;;;;;;;;;;;;;x
returnfromraiding;Return from Raiding;;;;;;;;;;;;;x
returnfromraiding_desc;Bring home the spoils!;;;;;;;;;;;;;x
holdafeast;Hold a Feast;;;;;;;;;;;;;x
holdafeast_desc;Hold the biggest feast ever seen!;;;;;;;;;;;;;x
trainapegasusmount;Train a Pegasus Mount;;;;;;;;;;;;;x
trainapegasusmount_desc;I shall take to the skies!;;;;;;;;;;;;;x
trainagryphonmount;Train a Griffon Mount;;;;;;;;;;;;;x
trainagryphonmount_desc;On the wings of a lion I ride!;;;;;;;;;;;;;x
trainawyvernmount;Train a Wyvern Mount;;;;;;;;;;;;;x
trainawyvernmount_desc;Dis ere' beast will git me to da best fights!;;;;;;;;;;;;;x
trainadragonmount;Train a Dragon Mount;;;;;;;;;;;;;x
trainadragonmount_desc;I ascend to the heavens on the wings of the Ancients!;;;;;;;;;;;;;x
openslaverymenu;Open Slavery Menu;;;;;;;;;;;;;x
openslaverymenu_desc;Use this decision to place your slaves in provinces or sell them;;;;;;;;;;;;;x
sellelfslaves;Sell Elf Slaves;;;;;;;;;;;;;x
sellelfslaves_desc;Sell off some elves.;;;;;;;;;;;;;x
sellhumanslaves;Sell Human Slaves;;;;;;;;;;;;;x
sellhumanslaves_desc;Sell off some humans.;;;;;;;;;;;;;x
selldwarfslaves;Sell Dwarf Slaves;;;;;;;;;;;;;x
selldwarfslaves_desc;Sell off some dwarfs.;;;;;;;;;;;;;x
showcourtiersthatcanbeturned;Show Courtiers That Can be Turned;;;;;;;;;;;;;x
showcourtiersthatcanbeturned_desc;Those weak in mind and body are so much more malleable...;;;;;;;;;;;;;x
closevampireturningdecisions;Close Vampire Turning Decisions;;;;;;;;;;;;;x
closevampireturningdecisions_desc;Eternal life is so precious, not all deserve its gift...;;;;;;;;;;;;;x
makeavampireheir;Make a Vampire Heir;;;;;;;;;;;;;x
makeavampireheir_desc;I shall sire only one worthy of my legacy.;;;;;;;;;;;;;x
cast_doombolt;Cast Doombolt Spell at Enemy;;;;;;;;;;;;;x
cast_doombolt_desc;The powers of the warp flow through me!;;;;;;;;;;;;;x
cast_bladewind;Cast Bladewind Spell at Enemy;;;;;;;;;;;;;x
cast_bladewind_desc;The winds of Dhar bend to my will!;;;;;;;;;;;;;x
cast_arnzipals_black_horror;Cast Arnzipals Black Horror at Enemy;;;;;;;;;;;;;x
cast_arnzipals_black_horror_desc;Witness true horror...;;;;;;;;;;;;;x
hire_sorceress;Hire Sorceress;;;;;;;;;;;;;x
hire_sorceress_desc;Beg Malekith and Morathi for a disciple of Dhar.;;;;;;;;;;;;;x
cast_tempest;Cast Tempest Spell at Enemy;;;;;;;;;;;;;x
cast_tempest_desc;I unleash the tempest fury of the storms!;;;;;;;;;;;;;x
cast_fieryconvocation;Cast Fiery Convocation at Enemy;;;;;;;;;;;;;x
cast_fieryconvocation_desc;Feel the flames of the phoenix!;;;;;;;;;;;;;x
cast_soulquench;Cast SoulQuench at Enemy;;;;;;;;;;;;;x
cast_soulquench_desc;You do not deserve the power of magic...;;;;;;;;;;;;;x
raise_undead;Raise Undead;;;;;;;;;;;;;x
raise_undead_desc;The dead shall rise!;;;;;;;;;;;;;x
cast_soulblight;Cast Soulblight at Enemy;;;;;;;;;;;;;x
cast_doom_and_darkness;Cast Doom and Darkness on Enemy;;;;;;;;;;;;;x
cast_purple_sun_of_xereus;Cast Purple Sun of Xereus on Enemy;;;;;;;;;;;;;x
study_magic_decision;Study Magic;;;;;;;;;;;;;x
study_magic_decision_desc;This character goes into seclusion, delving deep into the winds of magic...;;;;;;;;;;;;;x
stop_studying_magic_decision;Stop Studying Magic;;;;;;;;;;;;x
stop_studying_magic_decision_desc;Return from your studies early and end regency.;;;;;;;;;;;;x
cast_shardstorm;Cast Shardstorm;;;;;;;;;;;;;x
cast_freezing_blast;Cast Freezing Blast;;;;;;;;;;;;;x
cast_fireball;Cast Fireball;;;;;;;;;;;;;x
cast_piercing_bolts_of_burning;Cast Piercing Bolts of Burning;;;;;;;;;;;;;x
cast_flame_storm;Cast Flamestorm;;;;;;;;;;;;;x
cast_shems_burning_gaze;Cast Shem's Burning Gaze;;;;;;;;;;;;;x
cast_transformation_of_kadon;Cast Transformation of Kadon;;;;;;;;;;;;;x
cast_amber_spear;Cast Amber Spear;;;;;;;;;;;;;x
