#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
##MUTATIONS_EVENTS.TXT;;;;;;;;;;;;;;
EVTDESC_MUTATION_2;By the Gods! You wake up with a terrible itch somewhere on your body, and when you turn to scratch, it feels like you poked yourself in the eye. You've grown a third eye!!!;;;;;;;;;;;;;x
EVTDESC_MUTATION_2A;Noooo!;;;;;;;;;;;;;x
EVTDESC_MUTATION_2B;*gasp* I'll... pluck it... out!;;;;;;;;;;;;;x
EVTDESC_MUTATION_3;Over the last couple of days, a part of your body has been growing strange hair... it has gotten worse, and you now have a small patch of fur somewhere on your body!;;;;;;;;;;;;;x
EVTDESC_MUTATION_3A;Noooo!;;;;;;;;;;;;;x
EVTDESC_MUTATION_4;Your fellows have been telling you lately to take a bath in no uncertain terms, but no matter how much you scrub, the smell just won't go away. A foul mutation is causing you to reek!;;;;;;;;;;;;;x
EVTDESC_MUTATION_4A;Noooo!;;;;;;;;;;;;;x
EVTDESC_MUTATION_5;Lately your hand has been slowly transforming, and one day, you wake to discover a huge claw where once your hand was! Curses, this is going to be hard to hide...;;;;;;;;;;;;;x
EVTDESC_MUTATION_5A;Noooo!;;;;;;;;;;;;;x
EVTDESC_MUTATION_5B;Oh Gods, I'll need to get the meat cleaver...;;;;;;;;;;;;;x
EVTDESC_MUTATION_6;It's subtle at first, but you can't deny it any longer - your appearance is slightly turning into that of an animal, whether a cat, dog, cow, or deer... it's not a full transformation, but it's impossible to cover up any longer!;;;;;;;;;;;;;x
EVTDESC_MUTATION_6A;I'll need to go into hiding!;;;;;;;;;;;;;x
EVTDESC_MUTATION_7;Some part of your body is undergoing serious changes - whether it's your feet turning into hoofs or a shell growing on your back, this is becoming impossible to hide!;;;;;;;;;;;;;x
EVTDESC_MUTATION_7A;I'll need to go into hiding!;;;;;;;;;;;;;x
EVTDESC_MUTATION_8;Your body is mutating faster and faster, and you are turning into some kind of beast! Your mind is starting to crack under the pressure...;;;;;;;;;;;;;x
EVTDESC_MUTATION_8A;I'll need to go into hiding!;;;;;;;;;;;;;x
EVTDESC_MUTATION_9;You have been struck by a terrible mutation - your body is literally falling apart and rotting, but it is no normal disease! It won't take long until you are a lump of twisted flesh!;;;;;;;;;;;;;x
EVTDESC_MUTATION_9A;I'll need to go into hiding!;;;;;;;;;;;;;x
EVTDESC_MUTATION_10;By all the gods... you wake up one morning to hear someone screaming next to you, and turn to find that you have grown a second head which looks at you in horror and screams into your face with foetid breath.;;;;;;;;;;;;;x
EVTDESC_MUTATION_10A;*Turn to the head and scream back* AAHHHHH!!!;;;;;;;;;;;;;x
EVTDESC_MUTATION_11;After all the mutations, you barely look like your former self. Your body is strangely misshapen and normal people will hate and fear you whenever they find you.;;;;;;;;;;;;;x
EVTDESC_MUTATION_12;Your mortal body could no longer endure the effects of mutations - you've become a Chaos Spawn - mindless creature in service of the Ruinous Powers.;;;;;;;;;;;;;x
mutation13;Mutations are a sign of Chaos, and signs of Chaos must be rooted out with fire and sword! You should probably check this court for signs of mutants while you're here...;;;;;;;;;;;;;x
mutation14;Curses! The Witch Hunter at your court has spied on you, and discovered your mutation! This is surely the end, for you...;;;;;;;;;;;;;x
mutation14a;I will appeal to my liege!;;;;;;;;;;;;;x
