#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#GENERAL;;;;;;;;;;;;;;;
turn_courtier_into_vampire;Turn [Root.GetTitledFirstName] into a Vampire;;;;;;;;;;;;;x
#EVENT MODIFIERS;;;;;;;;;;;;;;;
lahmian_presence;Secret Cabal;;;;;;;;;;;;;x
lahmian_presence_desc;Some sort of secret cabal or group is active in this province. Assassinations, blackmail, corrupt business deals and other underworld activities are stronger here than elsewhere and while the culprits remain well-hidden for now, tax revenue suffers as a result of their activities.;;;;;;;;;;;;;x
nurgle_province_disease;Outbreak of Nurgle Rot;;;;;;;;;;;;;x
beastmen_unrest;Beastmen Unrest;;;;;;;;;;;;;x
warpdust_traces;Warpdust Traces;;;;;;;;;;;;;x
slaanesh_hedonism;Slaanesh Hedonism Outbreak;;;;;;;;;;;;;x
witch_hunter_purge_in_progress;Witch Hunter Purge in Progress;;;;;;;;;;;;;x
dwarf_slaves;Dwarf Slaves;;;;;;;;;;;;;x
dwarf_slaves_desc;Dwarf slaves are the most prized of all, being both hardy and skilled. They tend to live 20 years in captivity, before their defiant hearts finally give out under the lash.;;;;;;;;;;;;;x
elf_slaves;Elf Slaves;;;;;;;;;;;;;x
elf_slaves_desc;Elf slaves are not the best suited for manual labour, but what they lack in endurance and strength they make up for in other ways. Elf slaves are typically put to work as artists, weaponsmiths, jewelsmiths, craftsmen, or as house servants. They usually endure 10 years of slavery.;;;;;;;;;;;;;x
human_slaves;Human Slaves;;;;;;;;;;;;;x
human_slaves_desc;Human slaves are the most common, and can be put to any kind of work depending on their skill set. They typically last 15 years before they are broken down and rendered useless.;;;;;;;;;;;;;x
holding_large_druchi_feast;Holding large Druchii feast;;;;;;;;;;;;;x
slaves_taken;Slaves Taken by Raiders;;;;;;;;;;;;;x
slaves_taken_desc;This province has been recently raided, and many of its citizens were carried off as slaves to distant shores. It will take around 5 years for it to recover.;;;;;;;;;;;;;x
minor_title_vampire_heir;Vampire Heir Decision Target;;;;;;;;;;;;;x
lahmian_elite_agent;Elite Sisterhood Member;;;;;;;;;;;;;x
lahmian_elite_agent_desc;Elite Sisterhood agents are those most skilled and trusted by the Queen. They are sent on the most dangerous and difficult missions, but they are also a part of the inner circle of the sisterhood - so many Lahmians dream of attaining this coveted title.;;;;;;;;;;;;;x
lahmian_protector;Lahmian Protector;;;;;;;;;;;;;x
lahmian_protector_desc;Lahmian Protectors are charged with defending the Sisterhoods interests, by deadly force if necessary. Whereas other Lahmians will flee rather than engage in direct battle and give away the presence of the sisterhood, the protectors will stand and fight. Protectors are often human males skilled in the art of war and personal combat, but it is not unheard of for the Queen to give this title to a particularly warlike Lahmian either. Vampire protectors are, after all, likely to be better fighters than mere mortals due to their natural advantages in speed and strength. Some protectors even receive magical weapons and artifacts from the Queen so that they may fight better in the inevitable conflicts with the witch hunters.;;;;;;;;;;;;;x
#TRAITS;;;;;;;;;;;;;;;
on_lahmian_mission;On Lahmian Mission;;;;;;;;;;;;;x
on_lahmian_mission_desc;This character is on a mission to further the Lahmian cause, usually involving seducing some poor mortal to serve as their unwitting pawn;;;;;;;;;;;;;x
lahmian_queen;Queen of the Lahmias;;;;;;;;;;;;;x
lahmian_queen_desc;The Lahmians are a breed of schemers and indolent hedonists who seek to reconquer their ancient city of Lahmia. Their plots reach into many aspects of high society, but they are almost all working on the orders of their queen who is the greatest, most beautiful, and most cunning amongst them;;;;;;;;;;;;;x
disinherited;Disinherited;;;;;;;;;;;;;x
disinherited_desc;For whatever reason, this character has been disinherited;;;;;;;;;;;;;x
druchi_mage;Druchii Mage;;;;;;;;;;;;;x
druchi_mage_desc;Under the rule of Malekith, male Druchii were not allowed to study magic. A few individuals however defied this order, but had to keep their activities well hidden.;;;;;;;;;;;;;x
carstein_ring;Carstein Ring;;;;;;;;;;;;;x
carstein_ring_desc;The holder of this ring cannot be killed in battle - if the bearer is struck down, then in a matter of hours or days, he or she will simply return to fight on. There is no known way to defeat the power of this ring, except to make sure that the holder no longer wields it.;;;;;;;;;;;;;x
witch_hunter;Witch Hunter;;;;;;;;;;;;;x
witch_hunter_desc;Agents of the temples charged with rooting out heresy, Witch Hunters can be found all over the old world where rulers of the benign faiths still hold power. Their methods can be cruel and excessive, but they are the first line of defence against the powers of Chaos who always seek to pervert and destroy all that is good from within.;;;;;;;;;;;;;x
on_witch_hunt;On Witch Hunt;;;;;;;;;;;;;x
on_witch_hunt_desc;This character is currently on a Witch hunt, actively rooting out heresy in a suspect location.;;;;;;;;;;;;;x
infertile;Infertile;;;;;;;;;;;;;x
infertile_desc;This character can no longer have children.;;;;;;;;;;;;;x
on_dark_elf_raid;On a Raid;;;;;;;;;;;;;x
on_dark_elf_raid_desc;This character has taken off with a ship and crew to go reaving on foreign shores or seek out weaker merchant vessels to board and capture. Reaving is highly risky, but can also be very profitable indeed...;;;;;;;;;;;;;x
khemri_liche_priest;Nehekharan Liche Priest;;;;;;;;;;;;;x
khemri_liche_priest_desc;The Liche Priests of Nehekhara are an ancient order, charged with serving the Tomb Kings and preserving them even in undeath.;;;;;;;;;;;;;x
khemri_tomb_king;Nehekhara Tomb King;;;;;;;;;;;;;x
khemri_tomb_king_desc;The Tomb Kings of Nehekhara are all that remain of the glories of an ancient, proud civilisation. Once believing they would wake up from embalmed death and live in a paradise where they would rule eternally, they instead woke up to horrible undeath and a cursed existence. Seeing their lands come to ruin, many have gone mad, while others are still driven by the ancient impulses to rule and expand their once-great empire. Their courts are a mockery of life, with food being served that cannot be tasted, wine being poured that cannot be drunk, but the great wealth and splendor remains - even if it is a decaying and hollow echo of what once was in the mighty land of Nehekhara.;;;;;;;;;;;;;x
malekith;Malekith;;;;;;;;;;;;;x
malekith_desc;Also known as "The Witch King", Malekith is the son of the great Aenarion and his second wife, Morathi. He was meant to inherit the Kingdom of Ulthuan after his father, but the princes chose Bel Shanaar instead, citing that they needed someone to rebuild rather than lead in wars. For a time Malekith accepted this, but eventually he could wait no longer, and he brought civil war and ruin to Ulthuan. Horribly scarred as the Flame of Asuryan rejected him as Phoenix King, he lives encased in a great suit of armour, always plotting to regain his birthright - the Phoenix Throne.;;;;;;;;;;;;;x
phoenix_king;Phoenix King of Ulthuan;;;;;;;;;;;;;x
phoenix_king_desc;The Phoenix King is chosen by election amongst the princes of Ulthuan, and is crowned after successfully passing through the flames of Asuryan as Aenarion did so many thousands of years ago. Though civil strife has torn through the Elves before, these days they are a united nation, with most old rivalries long settled and they generally are content to live under the rule of the Phoenix Kings, chosen from the best and wisest amongst their number.;;;;;;;;;;;;;x
black_dragon_mount;Black Dragon Mount;;;;;;;;;;;;;x
black_dragon_mount_desc;A Dragon mount is reserved for only the greatest and most powerful of generals, and is an invaluable aid on the battlefield. It can crush entire armies, and make the general almost unbeatable in duels, on the rare occasions someone is foolish enough to attempt an attack. Black Dragons breathe out noxious fumes.;;;;;;;;;;;;;x
blue_dragon_mount;Blue Dragon Mount;;;;;;;;;;;;;x
blue_dragon_mount_desc;A Dragon mount is reserved for only the greatest and most powerful of generals, and is an invaluable aid on the battlefield. It can crush entire armies, and make the general almost unbeatable in duels, on the rare occasions someone is foolish enough to attempt an attack. Blue Dragons release lightning.;;;;;;;;;;;;;x
chaos_dragon_mount;Chaos Dragon Mount;;;;;;;;;;;;;x
chaos_dragon_mount_desc;A Dragon mount is reserved for only the greatest and most powerful of generals, and is an invaluable aid on the battlefield. It can crush entire armies, and make the general almost unbeatable in duels, on the rare occasions someone is foolish enough to attempt an attack. Chaos Dragons have two heads, and their breath weapon is acid.;;;;;;;;;;;;;x
gold_dragon_mount;Gold Dragon Mount;;;;;;;;;;;;;x
gold_dragon_mount_desc;A Dragon mount is reserved for only the greatest and most powerful of generals, and is an invaluable aid on the battlefield. It can crush entire armies, and make the general almost unbeatable in duels, on the rare occasions someone is foolish enough to attempt an attack. Gold are younger versions of Red Dragons, and breathe fire like their elders.;;;;;;;;;;;;;x
green_dragon_mount;Green Dragon Mount;;;;;;;;;;;;;x
green_dragon_mount_desc;A Dragon mount is reserved for only the greatest and most powerful of generals, and is an invaluable aid on the battlefield. It can crush entire armies, and make the general almost unbeatable in duels, on the rare occasions someone is foolish enough to attempt an attack. Green Dragons use corrosive fumes as their breath weapon attack.;;;;;;;;;;;;;x
gryphon_mount;Griffon Mount;;;;;;;;;;;;;x
gryphon_mount_desc;A Griffon is a powerful ally in battle, with the head of an eagle and the body of a lion. The beast is large enough for a general to ride upon, and he can swoop down on the battlefield to join at the critical moments, or soar high above, surveying the course of events and landing to give swift orders.;;;;;;;;;;;;;x
wyvern_mount;Wyvern Mount;;;;;;;;;;;;;x
wyvern_mount_desc;Typically used by powerful Greenskin generals, Wyverns - though not as powerful as dragons - are formidable adversaries and fierce fighters. They have a poison stinger which they use to great effect.;;;;;;;;;;;;;x
pegasus_mount;Pegasus Mount;;;;;;;;;;;;;x
pegasus_mount_desc;Pegasi are essentially very large flying horses, often used by mages and generals to soar high above the battlefield. They are loyal mounts, and offer many advantages in battle, not least the ability to strike anywhere on the battlefield by swooping down from the skies.;;;;;;;;;;;;;x
red_dragon_mount;Red Dragon Mount;;;;;;;;;;;;;x
red_dragon_mount_desc;A Dragon mount is reserved for only the greatest and most powerful of generals, and is an invaluable aid on the battlefield. It can crush entire armies, and make the general almost unbeatable in duels, on the rare occasions someone is foolish enough to attempt an attack. Red Dragons are amongst the most powerful of their kind, and breathe fire.;;;;;;;;;;;;;x
white_dragon_mount;White Dragon Mount;;;;;;;;;;;;;x
white_dragon_mount_desc;A Dragon mount is reserved for only the greatest and most powerful of generals, and is an invaluable aid on the battlefield. It can crush entire armies, and make the general almost unbeatable in duels, on the rare occasions someone is foolish enough to attempt an attack. White Dragons breathe a freezing mist which cripples and immobilizes its foes.;;;;;;;;;;;;;x
druchi_sorceress;Druchii Sorceress;;;;;;;;;;;;;x
druchi_sorceress_desc;Tolerating no rivals, male sorcerers are outlawed in Naggaroth by command of the Witch King. Instead, he and Morathi are served by powerful sorceresses, some who follow Atharti and others who follow Khaine.;;;;;;;;;;;;;x
druchi_witch_elf;Druchii Witch Elf;;;;;;;;;;;;;x
druchi_witch_elf_desc;Witch Elves, also known as the brides of Khaine, devote their lives to serving the God of slaughter and give frequent devotions to him on the battlefield. They are greatly feared amongst the enemies of the Druchii.;;;;;;;;;;;;;x
asur_mage;Asur Mage;;;;;;;;;;;;;x
asur_mage_desc;Asur Mages are known as masters of their craft, capable of wielding high magic.;;;;;;;;;;;;;x
studying_magic;Studying Magic;;;;;;;;;;;;;x
studying_magic_desc;This character has gone into seclusion, focusing on improving his understanding of magic by digging through ancient tomes and running experiments.;;;;;;;;;;;;;x
greenskin_shaman;Greenskin Shaman;;;;;;;;;;;;;x
greenskin_shaman_desc;Greenskin Shamans are an unpredictable lot, but their power in battle is undeniable - when those powers work as intended, of course. When not, they can be as dangerous to their own side as the enemy.;;;;;;;;;;;;;x
slaanesh_daemonette;Slaanesh Daemonette;;;;;;;;;;;;;x
slaanesh_daemonette_desc;Daemonettes are lesser Daemons of Slaanesh. They are the most numerous of his daemonic minions and serve him as handmaidens, warriors and agents.;;;;;;;;;;;;;x
tzeentch_flamer;Tzeentch Flamer;;;;;;;;;;;;;x
tzeentch_flamer_desc;Flamers are writhing lesser Daemons of Tzeentch.;;;;;;;;;;;;;x
nurgle_plaguebearer;Nurgle Plaguebearer;;;;;;;;;;;;;x
nurgle_plaguebearer_desc;Plaguebearers are born from the energy of mortal souls succumbing to Nurgle's Rot.;;;;;;;;;;;;;x
khorne_bloodletter;Khorne Bloodletter;;;;;;;;;;;;;x
khorne_bloodletter_desc;Bloodletters are the Lesser Daemons of Khorne, eager foot soldiers that form the core of his vast legions.;;;;;;;;;;;;;x
#BUILDINGS#;;;;;;;;;;;;;;;
#Dark Elf#;;;;;;;;;;;;;;;
ca_naggarond;Naggarond;;;;;;;;;;;;;x
ca_naggarond_desc;Naggarond is the darkest and most powerful of the Druchii cities, home to the Witch King himself for eons. A near impenetrable fortress, it is guarded by infamous Black Guard of Naggarond who are amongst the finest warriors in the world.;;;;;;;;;;;;;x
ca_ghrond;Ghrond;;;;;;;;;;;;;x
ca_ghrond_desc;Ghrond is also called "The Black Towerand is home to the feared Sorceresses of Naggaroth, long ruled by their Queen Morathi, mother of Malekith himself. It is a near impenetrable fortress, the last line of defence against the hordes of the northern Chaos Wastes, should the watch towers fail to hold them back.;;;;;;;;;;;;;x
ca_hag_graef;Hag Graef;;;;;;;;;;;;;x
