#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
knightsoftherealm;Knights of the Realm;;;;;;;;;;;;;x
vampireknights;Vampire Knights;;;;;;;;;;;;;x
blackorcs;Black Orcs;;;;;;;;;;;;;x
dwarflongbeards;Dwarf Longbeards;;;;;;;;;;;;;x
blackguard;Blackguard of Naggarond;;;;;;;;;;;;;x
ghrondsorceresses;Ghrond Sorceresses;;;;;;;;;;;;;x
karondkarcorsairs;Karond Kar Corsairs;;;;;;;;;;;;;x
harganethexecutioners;Har Ganeth Executioners;;;;;;;;;;;;;x
coldoneknights;Cold One Knights;;;;;;;;;;;;;x
druchispearmen;Druchi Spearmen;;;;;;;;;;;;;x
druchicrossbows;Druchi Crossbows;;;;;;;;;;;;;x
darkriders;Dark Riders;;;;;;;;;;;;;x
witchelves;Witch Elves;;;;;;;;;;;;;x
tiranocchariots;Tiranoc Chariots;;;;;;;;;;;;;x
lothernseaguard;Lothern Seaguard;;;;;;;;;;;;;x
dragonprinces;Dragon Princes of Caledor;;;;;;;;;;;;;x
shadowwarriors;Shadow Warriors;;;;;;;;;;;;;x
swordmasters;Swordmasters of Hoeth;;;;;;;;;;;;;x
whitelions;White Lions of Chrace;;;;;;;;;;;;;x
reavers;Ellyrian Reavers;;;;;;;;;;;;;x
elvenspearmen;Elven Spearmen;;;;;;;;;;;;;x
elvenarchers;Elven Archers;;;;;;;;;;;;;x
silverhelms;Silver Helm Knights;;;;;;;;;;;;;x
skeletonarchers;Skeleton Archers;;;;;;;;;;;;;x
skeletonspearmen;Skeleton Spearmen;;;;;;;;;;;;;x
skeletoncavalry;Skeleton Cavalry;;;;;;;;;;;;;x
amazon_spearmaiden;Amazon Spear Maidens;;;;;;;;;;;;;x
amazon_beast_mistress;Amazon Beast Mistresses;;;;;;;;;;;;;x
amazon_temple_guards;Amazon Temple Guards;;;;;;;;;;;;;x
