#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
lizardman0desc;Lizardmen do not reproduce as other mortals do. Instead, generations of Lizardmen emerge from the vast spawning pools beneath their great temple-cities, fully formed. Some of these spawnings are predetermined by the Great Plan, but at other times, especially when the need is greatest, spawnings may occur suddenly and unexpectedly.;;;;;;;;;;;;;x
lizardman5desc;Lizardmen do not reproduce as other mortals do. Instead, generations of Lizardmen emerge from the vast spawning pools beneath their great temple-cities, fully formed. Some of these spawnings are predetermined by the Great Plan, but at other times, especially when the need is greatest, spawnings may occur suddenly and unexpectedly.;;;;;;;;;;;;;x
lizardman1desc;Welcome, your fate is to birth a new generation of Lizardmen and die.;;;;;;;;;;;;;x
lizardman3desc;Welcome, you are [Root.GetFullName].;;;;;;;;;;;;;x
lizardman4desc;After centuries of gestation, a new Lizardman emerges from the spawning pools.\nHaving consulted the alignment of the stars and the position of the moon, the Skink Priests determine that [FromFrom.GetSubjectPronoun] shall be named [FromFrom.GetBestName].;;;;;;;;;;;;;x
creature_slann_desc;This character is a Slann.;;;;;;;;;;;;;x
creature_slann;Slann;;;;;;;;;;;;;x
creature_saurus;Saurus;;;;;;;;;;;;;x
creature_saurus_desc;This character is a Saurus.;;;;;;;;;;;;;x
lizardman_sleepingslann;Sleeping Slann;;;;;;;;;;;;;x
lizardman_sleepingslann_desc;To the Slann, time passes more quickly than it does for short-lived creatures, and Slann will regularly slip into extended periods of restful contemplation that might last decades, or even centuries, at a time. They sit unmoving on their stone palanquins or in their Star Chambers, and to an outsider a Slann might appear asleep, or even dead.;;;;;;;;;;;;;x
slann_awaken_decision;Awaken to the World;;;;;;;;;;;;;x
slann_awaken_decision_desc;Awakening to the world allows Slann to communicate directly with their subjects, without going through a Skink Priest first. In game terms, this means you are no longer in a regency.\n\nAwakening will cost 100 piety for every level of sleep.;;;;;;;;;;;;;x
slann_fall_asleep_decision;Return to Contemplation.;;;;;;;;;;;;;x
lizardman_strong_winds_of_chaos;The Winds of Chaos are strong.;;;;;;;;;;;;;x
lizardman101desc;Since the Great Catastrophe, the world has been tainted by the mark of Chaos. The immense power and attunement to magic of the Slann makes their minds vulnerable, and when they awaken from their deep contemplation, their spirits become clouded by unreason and uncertainty.;;;;;;;;;;;;;x
lizardman102desc;The march of ages and the power of Chaos takes a steady toll on the mind of the Slann. Only through deep contemplation and avoiding all contact with this tainted world can they protect their souls.;;;;;;;;;;;;;x
lizardman103desc;The deep contemplation of the Great Plan and the will of the Old Ones is soothing. Memories of a world, untainted by Chaos, can set the mind back on its straight path.;;;;;;;;;;;;;x
deepen_contemplation_decision;Deepen Contemplation;;;;;;;;;;;;;x
lighter_sleep_decision;Sleep Lighter;;;;;;;;;;;;;x
lighter_sleep_decision_desc;The minds of the Slann are ever at risk of corruption and misdirection by the forces of Chaos. Ascending to a lighter level of contemplation will make it easier to completely rouse from your sleep, but you will also be more exposed to the forces of madness.;;;;;;;;;;;;;x
lizardman103optA;The Great Plan is soothing.;;;;;;;;;;;;;x
lizardman102optA;My mind is unravelling.;;;;;;;;;;;;;x
lzardman251desc;[This.GetName] is now part of the Lustrian jungles.;;;;;;;;;;;;;x
lizardman203desc;Your [GetFromRelation] [From.GetBestName] has contracted a serious disease due to exposure to the jungles of Lustria.;;;;;;;;;;;;;x
lizardman251desc;Adds Lustrian Jungle to the Lustrian Jungle and should be invisible.;;;;;;;;;;;;;x
lizardman205desc;Great hunting cats, cannibalistic monkey-kin, and the buzzing swarms of enormous insect life makes the jungle a constant battle zone, where survival is an hourly struggle, yet most dangerous of all that hunt beneath the canopies are the giant reptiles. You have had the misfortune of stumbling upon one of the dread creatures!;;;;;;;;;;;;;x
lizardman204desc;Your [GetFromRelation] [From.GetBestName] has has died from a serious disease [From.GetSubjectPronoun] caught in the jungles of Lustria.;;;;;;;;;;;;;x
lizardman202desc;The vast majority of Lustria is covered in jungle so thick that its many levels of canopy block out the sky. Even the high peaks and plateaus are blanketed, and it is said that arboreal creatures can cross the entire continent without once stepping upon the ground. In places, the trees soar many hundreds of feet in the air and some are even older than the race of humans.;;;;;;;;;;;;;x
lizardman250desc;The vast majority of Lustria is covered in jungle so thick that its many levels of canopy block out the sky. Even the high peaks and plateaus are blanketed, and it is said that arboreal creatures can cross the entire continent without once stepping upon the ground. In places, the trees soar many hundreds of feet in the air and some are even older than the race of humans.;;;;;;;;;;;;;x
lizardman104desc;Remove recent_sleep_change flag.;;;;;;;;;;;;;x
lustria_jungle;Jungle of Lustria;;;;;;;;;;;;;x
lustria_jungle_desc;The dense jungles of Lustria cover this province.;;;;;;;;;;;;;x
lustria_light_jungle;Light Jungle;;;;;;;;;;;;;x
lustria_light_jungle_desc;The jungle in this province is largely under control and there is ample space for permanent settlements and farming. The magical nature of the Lustrian jungle means it is impossible to reduce its influence further.;;;;;;;;;;;;;x
lustria_medium_jungle;Medium Jungle;;;;;;;;;;;;;x
lustria_medium_jungle_desc;The jungle in this province is a fact of life and always threatens to engulf settlements and farmland. A somewhat normal, ordered life is possible, however.;;;;;;;;;;;;;x
lustria_dense_jungle;Dense Jungle;;;;;;;;;;;;;x
lustria_dense_jungle_desc;The jungle in this province has overgrown most of the farmland and begins immediately outside the city gates. Life is a constant struggle against nature.;;;;;;;;;;;;;x
lustria_oppressive_jungle;Oppressive Jungle;;;;;;;;;;;;;x
lustria_oppressive_jungle_desc;There is practically no usable land in this province. The population is on the brink of starvation and even stout stone buildings can only be kept inhabitable with constant effort.;;;;;;;;;;;;;x
lizardman201desc;The vast majority of Lustria is covered in jungle so thick that its many levels of canopy block out the sky. Even the high peaks and plateaus are blanketed, and it is said that arboreal creatures can cross the entire continent without once stepping upon the ground. In places, the trees soar many hundreds of feet in the air and some are even older than the race of humans.;;;;;;;;;;;;;x
lizardman261desc;Keeping the dense jungle of Lustria at bay is a constant and dangerous struggle. The jungle expands with unnatural speed, and unless it is regularly cut back by burning and felling trees, it will soon overwhelm any settlement, even those of the Lizardmen - but the workers are at constant risk of being killed by animal and plant alike. Who shall fulfil this thankless duty today?;;;;;;;;;;;;;x
lizardman261Adesc;I shall do it myself.;;;;;;;;;;;;;x
lizardman261Bdesc;It is the Steward's duty.;;;;;;;;;;;;;x
lizardman261Cdesc;Maybe not this time.;;;;;;;;;;;;;x
lizardman265desc;The province where the jungle is to be cut back is decided by the location of your [Root.GetTreasurerName] [Root.job_treasurer.GetBestName]. However, [Root.job_treasurer.GetSheHe] is currently in [Root.job_treasurer.Location.GetName], which is not one of your demesne province, or you have been cutting back the jungle recently there.;;;;;;;;;;;;;x
lizardman266desc;You have spent the past months burning and cutting the jungle of [FromFrom.GetName]. It was dangerous work - the beasts of the jungle have fought back with ferocity, and the plantlife itself seems to have become more dangerous. But have you been successful?;;;;;;;;;;;;;x
lizardman262desc;DEBUG: This event puts you in the FROM scope for Lustrian jungle cut-backing.;;;;;;;;;;;;;x
lizardman208desc;DEBUG: Kill creature after duel, even if it lives.;;;;;;;;;;;;;x
lizardman207desc;DEBUG: Creature sends challenge.;;;;;;;;;;;;;x
lizardman264desc;DEBUG: Province ping event for Lustrian jungle-cutbacking.;;;;;;;;;;;;;x
lizardman268desc;[From.GetBestName] reports that the jungle in [FromFromFromFrom.GetName] has been successfully contained.;;;;;;;;;;;;;x
lizardman269desc;Despite my best efforts, I've been unable to bring the jungle in [FromFromFrom.GetName] under control.;;;;;;;;;;;;;x
lizardman270desc;Your efforts are rewarded with success: life in [FromFromFrom.GetName] is now a bit easier.;;;;;;;;;;;;;x
lizardman271desc;Your efforts have been in vain: even after months of work, the jungle of [FromFromFrom.GetName] will not yield to you.;;;;;;;;;;;;;x
LUSTRIA_BEAST_RAMPAGE;[Root.Location.GetAdjective] Dinosaur Rampage;;;;;;;;;;;;;x
lizardman300desc;The jungles of Lustria are ever a danger to civilization. For reasons unknown, the creatures of the jungle have gathered into a mighty stampede, threatening to destroy all that lies in their path.;;;;;;;;;;;;;x
lizardman305desc;§Y[From.GetBestName]§! has been killed by rampaging reptiles.;;;;;;;;;;;;;x
CB_NAME_LUSTRIA_BEAST_RAMPAGE;[Title.GetAdjective] Beast Rampage;;;;;;;;;;;;;x
WAR_NAME_LUSTRIA_BEAST_RAMPAGE;$ORDER$$SECOND_ADJ$ Beast Rampage;;;;;;;;;;;;;x
lizardman273desc;Working in the jungle for months on end is a hazardous occupation - even when its dangerous creatures are avoided, sickness and death lurk at every corner.;;;;;;;;;;;;;x
GodsBePraised;[GetRandomGodNameCap] be praised!;;;;;;;;;;;;;x
