#CODE;ENGLISH;;;;;;;;;;;;x
awaken_servants;Awaken your Servants;;;;;;;;;;;;x
awaken_servants_desc;Though some rose with you, many of those who were your servants in life still remain buried in the tombs and under the sands of Nehekhara. You may awaken them, so that they serve in death as well, and help improve your realm...;;;;;;;;;;;;x
tomb_kings_awakened_province_1;Sparsely Awakened;;;;;;;;;;;;x
tomb_kings_awakened_province_1_desc;A handful of Nehekharan servants in this province have been awakened into unlife, barely supplementing the retainers of this province's lord.;;;;;;;;;;;;x
tomb_kings_awakened_province_2;Moderately Awakened;;;;;;;;;;;;x
tomb_kings_awakened_province_2_desc;A moderate number of Nehekharan servants in this province have been awakened, they now provide a large part of this province's labour force and military.;;;;;;;;;;;;x
tomb_kings_awakened_province_3;Completely Awakened;;;;;;;;;;;;x
tomb_kings_awakened_province_3_desc;This province now teems with a twisted facsimile of life, all of the Nehekharans in this land have been awakened into unlife, labouring and soldiering as they once did, greatly improving this province.;;;;;;;;;;;;x
AWAKEN_MY_SERVANTS_OPT;Awaken, my servants!;;;;;;;;;;;;x
AWAKEN_MY_SERVANTS;With the preparations complete, your Liche Priests stand ready to begin the rituals that will awaken a new batch of servants in your province. Of course, this will cost you some prestige...;;;;;;;;;;;;x
NOT_NOW;Not now;;;;;;;;;;;;x
greenskin_power;Greenskin Control;;;;;;;;;;;;x
greenskin_power_desc;Greenskins don't have the same concept of ruler as the other races, instead the strong rule over the weak. That is the only Greenskin law.\n Each level of this law will be automatically passed to its next level at 100, 250, 500 and 1000 prestige for each respective level.\n The average time for the next level of the law to be enacted is 1 year, but it can be shortened with certain traits.;;;;;;;;;;;;x
greenskin_power_0;No Greenskin Control;;;;;;;;;;;;x
greenskin_power_0_desc;The Greenskins of this tribe don't respect your authority at all. Next level at 100.;;;;;;;;;;;;x
greenskin_power_1;Low Greenskin Control;;;;;;;;;;;;x
greenskin_power_1_desc;The Greenskins now grudgingly respect your authority. Next level at 250.;;;;;;;;;;;;x
greenskin_power_2;Medium Greenskin Control;;;;;;;;;;;;x
greenskin_power_2_desc;The Greenskins now somewhat respect your authority. Next level at 500.;;;;;;;;;;;;x
greenskin_power_3;High Greenskin Control;;;;;;;;;;;;x
greenskin_power_3_desc;The Greenskins now respect your authority. Next level at 1000.;;;;;;;;;;;;x
greenskin_power_4;Absolute Greenskin Control;;;;;;;;;;;;x
greenskin_power_4_desc;The Greenskins now completely respect your authority.;;;;;;;;;;;;x
orkyfy_provinces;Tribalize province capitals;;;;;;;;;;;;x
orkyfy_provinces_desc;Make this 'ere lands [Root.Culture.GetName] 'n propa!;;;;;;;;;;;;x
orkify_tooltip_1;Any holding in any of your demesne's province is not a Tribe;;;;;;;;;;;;x
