#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#MISC#
fimir_culture_modifier;Fimir Culture Modifier;;;;;;;;;;;;;;
albion_culture_modifier;Albion Culture Modifier;;;;;;;;;;;;;;
##EVENTS##
##NAMESPACE NORSCAN##
WOLF_HUNT;Wolf Hunt;;;;;;;;;x
EVTDESCNORSCAN.1;Word has reach you that a pack of wolves are terrorizing a local village, so the freemen demand that you uphold your oath and drive them off.;;;;;;;;;x
READY_MY_HUNTERS;Ready my hunters!;;;;;;;;;x
I_DO_THIS_ALONE;I do this alone.;;;;;;;;;x
LET_THEM_HANDLE_IT;Let the rabble handle it.;;;;;;;;;x
STRANGE_TIDINGS;Strange Tidings;;;;;;;;;x
EVTDESC_TCHAR;Early in the morning, you and a band of your closest warriors are hunting a stag, along the way you stumble upon an idol to Tchar. Your companions are scouting ahead of you when the idol begins speaking to you, promising absolute power and dominion over all others, if you only worship him...;;;;;;;;;x
EVTOPT_TCHARNO;Tchar is known to be a trickster...;;;;;;;;;x
EVTOPT_TCHARYES;I shall be a willing servant to Tchar, Changer of Ways!;;;;;;;;;x
BLOODY_VISIONS;Bloody Visions;;;;;;;;;x
EVTDESC_KHARNETH;Lately, you've noticed yourself becoming more and more aggressive, and constantly craving for battle and glory. Your slumber is disturbed when Kharneth, the Blood God, demands that you join his ranks, and forever live in glory.;;;;;;;;;x
EVTOPT_KHARNETHNO;Glory in battle is a fine thing, but I shall earn it myself.;;;;;;;;;x
EVTOPT_KHARNETHYES;Yes... Yes! Blood for the Blood God!;;;;;;;;;x
BEAUTIFUL_VOICES;Beautiful Voices;;;;;;;;;x
EVTDESC_SHORNAAL;You are walking through your hall during a slow day. After participating in a great feast and round of drinking that would make a legendary tale in itself, you still feel empty inside, like something is missing. Soon, you begin hearing voices, beautiful ones, calling to you, asking you to give yourself to Shornaal so that you may be satisfied...;;;;;;;;;x
EVTOPT_SHORNAALNO;And end up a decadent sluggard? I think not!;;;;;;;;;x
EVTOPT_SHORNAALYES;More... More of everything!;;;;;;;;;x
DECAY_AND_RUIN;Decay and Ruin;;;;;;;;;x
EVTDESC_NURGLETH;In your dreams Nurgleth, Lord of Death and Decay calls to you... 'The world is falling, it is corrupt, dying... embrace it, my child... embrace your destiny...' you hear a voice calling, and maggots crawl up from the ground, greeting you...;;;;;;;;;x
EVTOPT_NURGLETHNO;Wreck and ruin to Nurgleth, I shall make my own way!;;;;;;;;;x
EVTOPT_NURGLETHYES;May the corpse trail grow long!;;;;;;;;;x
TRUE_EVIL;True Evil;;;;;;;;;x
EVTDESC_DARKGODS;In your dreams, spirits of all shapes and forms come to you... You recognise many of them, and they press on you, whispering forbidden secrets and promises of power. They demand that you cast off the deities and guardians that have guided you your whole life and devote yourself entirely to the real gods of this world, the Dark Gods of Chaos Undivided: Khorne, Nurgle, Tzeentch & Slaanesh.;;;;;;;;;x
EVTOPT_DARKGODSNO;My oaths to my kin and my gods are too important to betray!;;;;;;;;;x
EVTOPT_DARKGODSYES;For the Ruinous Powers!;;;;;;;;;x
EVTDESCCCGS.2;You have decided to abandon the traditional gods of the Norscan faith, as they have done little for you, in favour of the Chaos Gods, which shall you follow?;;;;;;;;;x
EVTOPTCCGS.2.a;All of them, for the Dark Gods! For Chaos!;;;;;;;;;x
EVTOPTCCGS.2.b;I feel a rage unequalled in the mortal realm... Blood for the Blood God!;;;;;;;;;x
EVTOPTCCGS.2.c;Slaanesh will grant me my desires.;;;;;;;;;x
EVTOPTCCGS.2.d;There are others...;;;;;;;;;x
EVTDESCCCGS.3;Here are the others;;;;;;;;;x
EVTOPTCCGS.3.a;This world reeks of death, Nurgle will see me safe.;;;;;;;;;x
EVTOPTCCGS.3.b;Everyone is out to get me, but Tzeentch shall show me the way.;;;;;;;;;x
EVTOPTCCGS.3.c;Nevermind.;;;;;;;;;x
convertchaosmenu;Convert to Chaos;;;;;;;;;x
convertchaosmenu_desc;Embrace the Dark gods;;;;;;;;;x
CONVERSION;Conversion;;;;;;;;;x
patron_dark_god;Choose a patron god;;;;;;;;;x
