#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#;;;;;;;;;;;;;;;
#state troops
founded_state_troops;Founded state troop regiment;;;;;;;;;;;;;;
state_troop_swordsmen;Found Swordsmen Regiment;;;;;;;;;;;;;;
state_troop_swordsmen_desc;Found a Swordsmen Regiment to supplement your Imperial State Troops.;;;;;;;;;;;;;;
DYNAMIC_STATE_TROOPS_SWORDSMEN;[From.swordsmen_regiment.GetValue]. [From.GetBaseName] Swordsmen Regiment;;;;;;;;;;;;;;
state_troop_crossbowmen;Found Crossbowmen Regiment;;;;;;;;;;;;;;
state_troop_crossbowmen_desc;Found a Crossbowmen Regiment to supplement your Imperial State Troops.;;;;;;;;;;;;;;
DYNAMIC_STATE_TROOPS_CROSSBOWMEN;[From.crossbowmen_regiment.GetValue]. [From.GetBaseName] Crossbowmen Regiment;;;;;;;;;;;;;;
state_troop_halberdier;Found Halberdier Regiment;;;;;;;;;;;;;;
state_troop_halberdier_desc;Found a Halberdier Regiment to supplement your Imperial State Troops.;;;;;;;;;;;;;;
DYNAMIC_STATE_TROOPS_HALBERDIER;[From.halberdier_regiment.GetValue]. [From.GetBaseName] Halberdier Regiment;;;;;;;;;;;;;;
state_troop_greatsword;Found Greatsword Regiment;;;;;;;;;;;;;;
state_troop_greatsword_desc;Found a Greatsword Regiment to supplement your Imperial State Troops.;;;;;;;;;;;;;;
DYNAMIC_STATE_TROOPS_GREATSWORD;[From.greatsword_regiment.GetValue]. [From.GetBaseName] Greatsword Regiment;;;;;;;;;;;;;;
state_troop_handgunner;Found Handgunner Regiment;;;;;;;;;;;;;;
state_troop_handgunner_desc;Found a Handgunner Regiment to supplement your Imperial State Troops.;;;;;;;;;;;;;;
DYNAMIC_STATE_TROOPS_HANDGUNNER;[From.handgunner_regiment.GetValue]. [From.GetBaseName] Handgunner Regiment;;;;;;;;;;;;;;
state_troop_artillery;Found Artillery Regiment;;;;;;;;;;;;;;
state_troop_artillery_desc;Found an Artillery Regiment to supplement your Imperial State Troops.;;;;;;;;;;;;;;
DYNAMIC_STATE_TROOPS_ARTILLERY;[From.artillery_regiment.GetValue]. [From.GetBaseName] Artillery Regiment;;;;;;;;;;;;;;
state_troop_pistolier;Found Pistolier Regiment;;;;;;;;;;;;;;
state_troop_pistolier_desc;Found a Pistolier Regiment to supplement your Imperial State Troops.;;;;;;;;;;;;;;
DYNAMIC_STATE_TROOPS_PISTOLIER;[From.pistolier_regiment.GetValue]. [From.GetBaseName] Pistolier Regiment;;;;;;;;;;;;;;
#laws
imperial_crown_authority;Crown Authority;Autorité royale;Macht der Krone;;Autoridad de la Corona;;;;;;;;;x
imperial_crown_authority_desc;Medieval kings and emperors fought a constant battle with their vassals over privileges, rights and obligations. The nobility, naturally, tended to favour a weak state...;Les rois et empereurs médiévaux livrent une constante bataille avec leurs vassaux au sujet des privilèges, des droits et des obligations. Naturellement, la noblesse a tendance à privilégier un État faible.;Mittelalterliche Könige und Kaiser kämpften stets gegen ihre Vasallen um Privilegien, Rechte und Pflichten. Dem Adel war natürlich ein  schwacher Staat lieber...;;Los reyes y los emperadores medievales lucharon sin cesar con sus vasallos por sus privilegios, derechos y obligaciones. La nobleza, lógicamente, suele preferir un estado débil...;;;;;;;;;x
imperial_crown_authority_0;Autonomous Vassals;Vassaux autonomes;Autonome Vasallen;;Vasallos independientes;;;;;;;;;x
imperial_crown_authority_0_option;Min;Min.;Min;;Mín.;;;;;;;;;x
imperial_crown_authority_0_desc;Vassals are a law unto themselves, ruling their fiefs like petty kingdoms. Their obligations to their liege are minimal.;Les vassaux n'obéissent qu'à leurs propres règles, dirigeant leurs fiefs comme de petits royaumes. Leurs obligations envers leur seigneur sont minimales.;Vasallen sind sich selbst das Gesetz und herrschen in ihren Lehen wie kleine Könige. Ihre Verpflichtungen gegenüber dem Lehnsherrn sind minmal.;;Los vasallos tienen sus propias leyes y gobiernan sus feudos como si fueran pequeños reinos. Sus obligaciones hacia su señor son mínimas.;;;;;;;;;x
imperial_crown_authority_1;Limited Crown Authority;Autorité royale limitée;Begrenzte Macht der Krone;;Autoridad de la Corona limitada;;;;;;;;;x
imperial_crown_authority_1_option;Low;Faible;Niedrig;;Baja;;;;;;;;;x
imperial_crown_authority_1_desc;Vassals enjoy a very large degree of autonomy, but have to provide their liege with a fairly substantial portion of the levies.;Les vassaux ont une grande autonomie, mais ils doivent remettre à leur seigneur une importante part de leurs levées.;Vasallen genießen weitgehende Autonomie, müssen aber einen nicht unwesentlichen Anteil der von ihnen eingenommenen Abgaben an den Lehnsherrn abgeben.;;Los vasallos gozan de bastante autonomía, pero tienen que proporcionar levas suficientes a su señor.;;;;;;;;;x
imperial_crown_authority_2;Medium Crown Authority;Autorité royale moyenne;Mittlere Macht der Krone;;Autoridad de la Corona media;;;;;;;;;x
imperial_crown_authority_2_option;Medium;Moyenne;Mittel;;Media;;;;;;;;;x
imperial_crown_authority_2_desc;The powers of the nobility and the monarch are in precarious balance.;Il y a un équilibre fragile entre les pouvoirs des nobles et du monarque.;Die Macht des Adels und des Monarchen stehen in einem stets gefährdeten Gleichgewicht;;El poder de la nobleza y el del monarca están en un equilibrio precario.;;;;;;;;;x
imperial_crown_authority_3;High Crown Authority;Autorité royale forte;Starke Macht der Krone;;Autoridad de la Corona alta;;;;;;;;;x
imperial_crown_authority_3_option;High;Forte;Stark;;Alta;;;;;;;;;x
imperial_crown_authority_3_desc;The monarch has curbed the rights of the high nobility, relying instead on a budding bureaucracy led by the lesser nobility.;Le monarque limite les droits de la haute noblesse et se fie plutôt à une bureaucratie grandissante dirigée par une noblesse de second rang.;Der Monarch hat die Rechte des Hochadels beschnitten und stützt sich stattdessen auf eine neu entstehende, vom niederen Adel geführte Verwaltung.;;El monarca ha reprimido los derechos de la alta nobleza y, en su lugar, confía en una burocracia incipiente dirigida por la baja nobleza.;;;;;;;;;x
imperial_crown_authority_4;Absolute Crown Authority;Autorité royale absolue;Absolute Macht der Krone;;Autoridad de la Corona absoluta;;;;;;;;;x
imperial_crown_authority_4_option;Max;Max.;Max;;Máx.;;;;;;;;;x
imperial_crown_authority_4_desc;The Lords of the Realm are chafing under the unrestricted powers of the absolute monarch.;Les seigneurs du royaume sont irrités devant le pouvoir sans limites du monarque absolu.;Die Adligen im Reich ächzen unter der uneingeschränkten Macht des Monarchen.;;Los señores del reino están molestos con los poderes ilimitados del monarca absolutista.;;;;;;;;;x
imperial_feudal_contract;Feudal Levies;Troupes féodales;Feudale Wehrpflichtige;;Leva feudal;;;;;;;;;x
