#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#GENERAL
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

lore_dispatcher_title;Choose a Lore;;;;;;;;;;;;;x
lore_dispatcher_desc;Cast a spell from a lore you know;;;;;;;;;;;;;x
dispatch_dark_magic_desc;Cast a dark magic spell;;;;;;;;;;;;;x
dispatch_high_magic_desc;Cast a high magic spell;;;;;;;;;;;;;x
dispatch_necromancy_desc;Cast a necromantic spell;;;;;;;;;;;;;x
dispatch_ice_desc;Cast an ice magic spell;;;;;;;;;;;;;x
dispatch_fire_desc;Cast a fire magic spell;;;;;;;;;;;;;x
dispatch_light_desc;Cast a light magic spell;;;;;;;;;;;;;x
dispatch_beast_desc;Cast a beast magic spell;;;;;;;;;;;;;x
dispatch_metal_desc;Cast a metal magic spell;;;;;;;;;;;;;x
dispatch_life_desc;Cast a life magic spell;;;;;;;;;;;;;x
dispatch_heavens_desc;Cast a heavenly magic spell;;;;;;;;;;;;;x
dispatch_death_desc;Cast a death magic spell;;;;;;;;;;;;;x
dispatch_waaagh_desc;WAAAGH!!!!;;;;;;;;;;;;;x
dispatch_nurgle_desc;Cast a spell from the Lore of Nurgle;;;;;;;;;;;;;x
dispatch_tzeentch_desc;Cast a spell from the Lore of Tzeentch;;;;;;;;;;;;;x
dispatch_slaaneesh_desc;Cast a spell from the Lore of Slaaneesh;;;;;;;;;;;;;x
dispatch_hashut_desc;Cast a spell from the Lore of Hashut;;;;;;;;;;;;;x
dispatch_nehekhara_desc;Cast a spell from the Lore of Nehekhara;;;;;;;;;;;;;x

#lore(lore_name,title,desc,lvl1,lvl2,lvl3,lvl4)


# dark_magic spells
dark_magic_cast_title;Dhar;;;;;;;;;;;;;x
dark_magic_cast_desc;Make your enemies flee in terror!;;;;;;;;;;;;;x
dark_magic_level1_opt;Doombolt;;;;;;;;;;;;;x
dark_magic_level2_opt;Bladewind;;;;;;;;;;;;;x
dark_magic_level3_opt;Soul Stealer;;;;;;;;;;;;;x
dark_magic_level4_opt;Arnizpal's Black Horror;;;;;;;;;;;;;x

# high_magic spells
high_magic_cast_title;Aqshy;;;;;;;;;;;;;x
high_magic_cast_desc;Unleash the winds of magic on your foe!;;;;;;;;;;;;;x
high_magic_level1_opt;Shield of Saphery;;;;;;;;;;;;;x
high_magic_level2_opt;Fury of Khaine;;;;;;;;;;;;;x
high_magic_level3_opt;Flames of the Phoenix;;;;;;;;;;;;;x
high_magic_level4_opt;Vaul's Unmaking;;;;;;;;;;;;;x

# necromancy spells
necromancy_cast_title;Necromancy;;;;;;;;;;;;;x
necromancy_cast_desc;Cleanse the living!;;;;;;;;;;;;;x
necromancy_level1_opt;Raise Dead;;;;;;;;;;;;;x
necromancy_level2_opt;Curse of Years;;;;;;;;;;;;;x
necromancy_level3_opt;Wind of Undeath;;;;;;;;;;;;;x
necromancy_level4_opt;Summon Horde;;;;;;;;;;;;;x

# ice spells
ice_cast_title;Ice Magic;;;;;;;;;;;;;x
ice_cast_desc;Call upon the storms of the North!;;;;;;;;;;;;;x
ice_level1_opt;Shardstorm;;;;;;;;;;;;;x
ice_level2_opt;Freezing Blast;;;;;;;;;;;;;x
ice_level3_opt;Level 3;;;;;;;;;;;;;x
ice_level4_opt;Blizzard;;;;;;;;;;;;;x

# fire spells
fire_cast_title;Aqshy;;;;;;;;;;;;;x
fire_cast_desc;Burn the enemy!;;;;;;;;;;;;;x
fire_level1_opt;Fireball;;;;;;;;;;;;;x
fire_level2_opt;Burning Head;;;;;;;;;;;;;x
fire_level3_opt;Conflagration of Doom;;;;;;;;;;;;;x
fire_level4_opt;Wall of Fire;;;;;;;;;;;;;x

# light spells
light_cast_title;Hysh;;;;;;;;;;;;;x
light_cast_desc;Blind your opponent!;;;;;;;;;;;;;x
light_level1_opt;Pha's Illumination;;;;;;;;;;;;;x
light_level2_opt;Shem's Burning Gaze;;;;;;;;;;;;;x
light_level3_opt;Dazzling Brightness;;;;;;;;;;;;;x
light_level4_opt;Blinding Light;;;;;;;;;;;;;x

# beast spells
beast_cast_title;Ghur;;;;;;;;;;;;;x
beast_cast_desc;Call upon the beasts of the wild!;;;;;;;;;;;;;x
beast_level1_opt;Eagle's Cry;;;;;;;;;;;;;x
beast_level2_opt;Bear's Anger;;;;;;;;;;;;;x
beast_level3_opt;Crow's Feast;;;;;;;;;;;;;x
beast_level4_opt;The Wolf Hunts;;;;;;;;;;;;;x

# metal spells
metal_cast_title;Chamon;;;;;;;;;;;;;x
metal_cast_desc;Apply your alchemical research!;;;;;;;;;;;;;x
metal_level1_opt;Rule of Burning Iron;;;;;;;;;;;;;x
metal_level2_opt;Commandment of Brass;;;;;;;;;;;;;x
metal_level3_opt;Law of Gold;;;;;;;;;;;;;x
metal_level4_opt;Bane of Forged Steel;;;;;;;;;;;;;x

# life spells
life_cast_title;Ghyran;;;;;;;;;;;;;x
life_cast_desc;Let the very rocks cry out!;;;;;;;;;;;;;x
life_level1_opt;Father of the Thorn;;;;;;;;;;;;;x
life_level2_opt;Howler Wind;;;;;;;;;;;;;x
life_level3_opt;Master of the Wood;;;;;;;;;;;;;x
life_level4_opt;Master of Stone;;;;;;;;;;;;;x

# heavens spells
heavens_cast_title;Azyr;;;;;;;;;;;;;x
heavens_cast_desc;Split the sky!;;;;;;;;;;;;;x
heavens_level1_opt;Forked Lightning;;;;;;;;;;;;;x
heavens_level2_opt;Uranon's Thunderbolt;;;;;;;;;;;;;x
heavens_level3_opt;Storm of Cronos;;;;;;;;;;;;;x
heavens_level4_opt;Comet of Cassandora;;;;;;;;;;;;;x

# death spells
death_cast_title;Shyish;;;;;;;;;;;;;x
death_cast_desc;Draw upon the power of the realm of the dead!;;;;;;;;;;;;;x
death_level1_opt;Dark Hand of Death;;;;;;;;;;;;;x
death_level2_opt;Steal Soul;;;;;;;;;;;;;x
death_level3_opt;Drain Life;;;;;;;;;;;;;x
death_level4_opt;Doom and Darkness;;;;;;;;;;;;;x

# shadow spells
shadow_cast_title;Ulgu;;;;;;;;;;;;;x
shadow_cast_desc;They'll never see you coming!;;;;;;;;;;;;;x
shadow_level1_opt;Creeping Death;;;;;;;;;;;;;x
shadow_level2_opt;Shades of Death;;;;;;;;;;;;;x
