#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
##The Father of Mysteries##
fickletzeentch;The world seems so vast and confusing to you, there is so much left to understand, but the idea of trying to grasp something so complex makes you sink into a pit of hopelessness. The one day, the great Architect of Fate taps into your addled brain, giving you brief glimpses of inspiration and clarity...;;;;;;;;;;;;;x
TestofTzeentch9A;I will carefully study these visions...;;;;;;;;;;;;;x
TestofTzeentch9B;I would risk everything, to know the infinite!;;;;;;;;;;;;;x
TestofTzeentch9C;I fear the power of change...;;;;;;;;;;;;;x
fickletzeentch1;Ignorance is a disease that threatens to swallow the content or fearful, through the Master's gifts you see this now. Your mind is set aflame with knowledge beyond your years, which lights a fire inside you to seek out more and grasp at the infinite strands of your destiny and come to know where each might lead...;;;;;;;;;;;;;x
fickletzeentch1A;I must adapt and grow...;;;;;;;;;;;;;x
Boon_of_Tzeentch;Boon of Tzeentch;;;;;;;;;;;;;x

##The Lord of Slaughter##
khornesstr0;Unlike the other gods, Khorne's followers do not go to great lengths to build temples in his honour. Instead, they worship their god on the battlefield. His followers also offer him praise and attempt to win his favour by savagely attacking each other when there are no other battles to be fought.;;;;;;;;;;;;;x
khornesstr0a;Who dies first?;;;;;;;;;;;;;x
khornesstr1;While worship of most of the other gods requires rituals, altars, and sacrifices, Khorne's demands are simply that his followers spill fresh blood and collect skulls in his name.;;;;;;;;;;;;;x
khornesstr1a;By Khorne, it will be done!;;;;;;;;;;;;;x
khornesstr1b;Sacrifice some cattle instead...;;;;;;;;;;;;;x
khornesstr2;Khorne's berserkers are unstable warriors who revel in battle and live only for the shedding of blood in his name. Only warriors who devote themselves utterly to the Lord of Slaughter and offer him a mountain of skulls are destined to become such warriors. Now a berserker stands before you, ready to offer you up to the Skull Throne!;;;;;;;;;;;;;x
khornesstr2a;For the slaughter!;;;;;;;;;;;;;x
khornesstr2b;I have already proven my worth...;;;;;;;;;;;;;x
BLOOD_FOR_THE_BLOOD_GOD;BLOOD FOR THE BLOOD GOD!;;;;;;;;;;;;;x
SKULLS_FOR_THE_SKULL_THRONE;SKULLS FOR THE SKULL THRONE!;;;;;;;;;;;;;x
khornesstr3;You have killed a faithful servant of Khorne and now wear his skull as a trophy. You proudly claim to be a champion among men and that no mere mortal can best you, arousing the ire of Khorne, now he test your boasts and sends a vicious bloodletter daemon to do battle with you!;;;;;;;;;;;;;x
khornesstr3a;I am invincible!;;;;;;;;;;;;;x
khornesstr3b;The foe is too strong...;;;;;;;;;;;;;x
khornesstr4;You bellow your roar of triumph so that Khorne might take notice on you and grant you his blessing for your victory, and you are rewarded with a white hot pain that shoots through your body, giving you the strength of two men!;;;;;;;;;;;;;x
khornesstr4a;My axe shall feast on the blood of my foes!;;;;;;;;;;;;;x

##Great Corrupter##
fathernurgle0;Crippled, you begin to brood over your existence, how short life is, how much longer you might have left on this world. Confident and hopeful you shake the fear from your mind, you are far to strong to be beaten by this set back...;;;;;;;;;;;;;x
fathernurgle0a;I will not let this beat me!;;;;;;;;;;;;;x
fathernurgle1;Your condition grows worse, perhaps it is more serious then you first thought, now fear makes a home in the confines of your mind as you being to feel a dark irrational presence envelop your mind...;;;;;;;;;;;;;x
fathernurgle1a;I can't die, not... like this...;;;;;;;;;;;;;x
fathernurgle2;You still show no sign of your condition improving, your blood starts to boil, surely something is to blame for this. Your life feels so futile now that everything you aspired to has been ripped away, leaving you with a feeling of stagnant resentment...;;;;;;;;;;;;;x
fathernurgle2a;I was supposed to live forever in glory *cough* I was meant for so much more then this!;;;;;;;;;;;;;x
fathernurgle3;You hold onto every ounce of strength you can, maybe one of the gods still listens? What if you offered them gold, slaves, anything you own...;;;;;;;;;;;;;x
fathernurgle3a;Gods... do not forsake me...;;;;;;;;;;;;;x
fathernurgle4;Your strength has deserted you, hope has abandoned you, all is lost...;;;;;;;;;;;;;x
fathernurgle4a;Is this really how I am to die, not with a roar, but with a whimper...;;;;;;;;;;;;;x
fathernurgle5;You lie in your bed ready to accept your fate and let go, when a gargled voice resounds in your mind. "Give yourself unto the Lord of Decay and no more will you feel pain, no more shall you fear death, all things die, embrace your destiny with Grandfather Nurgle! Who other then Nurgle can protect you against the Rot, who but the Lord of Decay knows the true gift of immortality?";;;;;;;;;;;;;x
fathernurgle5a;Plaguefather... deliver me from this existence!;;;;;;;;;;;;;x
fathernurgle5b;No, I am ready for this to end...;;;;;;;;;;;;;x
fathernurgle6;As the oath pass your lips you feel all the pain seep from your body, instead you are filled with what feels like joy, power, and warm sensation that spreads through your body... a warmth you long to share with the world.;;;;;;;;;;;;;x
fathernurgle6a;I pledged myself to your service my Lord...;;;;;;;;;;;;;x
fathernurgle7;You have forsaken your god, and now you close your eyes and await the end.;;;;;;;;;;;;;x
fathernurgle7a;I am prepared to meet my ancestors...;;;;;;;;;;;;;x

##Slaanesh Ambitions##
obj_slaanesh_denounce_celibacy_title;Reject Celibacy;;;;;;;;;;;;;x
obj_slaanesh_denounce_celibacy_desc;[This.GetTitledFirstName], as a devoted Slaaneshi, is learning to reject the emptiness of celibacy.;;;;;;;;;;;;;x
obj_slaanesh_indulge_sexual_excess_title;Indulge the Flesh;;;;;;;;;;;;;x
obj_slaanesh_indulge_sexual_excess_desc;[This.GetTitledFirstName], as a devoted Slaaneshi, is learning to indulge in excesses of the flesh.;;;;;;;;;;;;;x
