#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
SJDwarfevents.1.desc;There are a large variety of beers available at the feast. You have already had five flagons, it may be a good idea to stop drinking...;;;;;;;;;x
SJDwarfevents.1.option1;And I will drink five flagons more!;;;;;;;;;x
SJDwarfevents.1.option2;I am a Dwarf, not a drunkard!;;;;;;;;;x
SJDwarfevents.2.desc;Your miners have found a rich vein of high quality gold ore which the miners have eagerly started to work on.;;;;;;;;;x
SJDwarfevents.2.option1;What a pleasant surprise!;;;;;;;;;x
SJDwarfevents.3.desc;A confused Dwarf has been found strolling around in the caves beneath [Capital.GetName]. He asks for your permission to stay at your court until he remembers who he was before and where he comes from.;;;;;;;;;x
SJDwarfevents.3.option1;You can stay;;;;;;;;;x
SJDwarfevents.3.option2;I got more important things to worry about.;;;;;;;;;x
SJDwarfevents.4.desc;Masonry is an old Dwarf tradition. Compared to the other lesser races, it is highly sophisticated and very respected. A Dwarf mason does not only work with building residential areas but they also are the ones who have the honourable task of building the huge halls and intriguing chambers that cover most of the Dwarf Karaks. As these structures are some of the most magnificent in the known world so are the Dwarf masons rightfully regarded as the best masons in the world which they are fully aware of and find great pride in. Masonry isn't just a way to build their homes, it is an art form.;;;;;;;;;x
SJDwarfevents.4.option1;Glory to the Dwarfs!;;;;;;;;;x
SJDwarfevents.5.desc;You have tried to make a small statue of a Dwarf warrior. Despite the fact it barely resembles a Dwarf and the axe is way too small, it is still an improvement since before.;;;;;;;;;x
SJDwarfevents.5.option1;A good attempt;;;;;;;;;x
SJDwarfevents.6.desc;Your attempt at making a small statue of a Dwarf warrior failed miserably. Halfway through you accidentally broke the statue which probably didn't matter as the statue would have looked awful anyway.;;;;;;;;;x
SJDwarfevents.6.option1;What a disappointment.;;;;;;;;;x
SJDwarfevents.7.desc;There is a very rough wall in one the watchtowers in [Capital.GetName] which you have decided to smooth out. The wall actually ended up quite smooth even though there are some scratches in it.;;;;;;;;;x
SJDwarfevents.7.option1;A good attempt;;;;;;;;;x
SJDwarfevents.8.desc;There is a very rough wall in one of your watchtowers in [Capital.GetName] which you have decided to smooth out.But the wall ended up looking even worse than it was before and very unstable.;;;;;;;;;x
SJDwarfevents.8.option1;We will have to rebuild the wall then...;;;;;;;;;x
SJDwarfevents.9.desc;You have decided to join your masons in their daily work, you learnt a lot of new stuff and you are very confident that you can put that practice to the test.;;;;;;;;;x
SJDwarfevents.9.option1;Very interesting;;;;;;;;;x
SJDwarfevents.10.desc;You have decided to join your masons in their daily work. they carefully gave you some tips, but you had a very tough time understanding what they meant so you did not learn that much.;;;;;;;;;x
SJDwarfevents.10.option1;What a shame;;;;;;;;;x
SJDwarfevents.11.desc;You have decided to smooth out the very uneven floor in the throne room. The floor actually ended up quite smooth so you are mighty pleased with yourself now.;;;;;;;;;x
SJDwarfevents.11.option1;I am not that bad of a mason after all!;;;;;;;;;x
SJDwarfevents.12.desc;You have lately been smoothing out a rough part of floor in the throne room, but it ended in a complete disaster and you wouldn't be surprised if the floor is even more uneven now than before.;;;;;;;;;x
SJDwarfevents.12.option1;I am so ashamed of myself...;;;;;;;;;x
SJDwarfevents.13.desc;Your skills in masonry have improved significantly. You are now at the level of your own masons. Considering how good Dwarfs are at masonry it is quite an achievement!;;;;;;;;;x
SJDwarfevents.13.option1;I am now a fully fledged mason!;;;;;;;;;x
SJDwarfevents.14.desc;You decided a while back to engrave the pillars in your throne room, that you have now finally finished. The elaborate runes cover most of the pillars that stand firmly in your throne room.;;;;;;;;;x
SJDwarfevents.14.option1;Well done, [Root.GetName]!;;;;;;;;;x
SJDwarfevents.15.desc;You decided some time ago to engrave the pillars in your throne room. But you have at several points in the engraving accidentally left large cracks in the pillars so you sadly need to build new ones.;;;;;;;;;x
SJDwarfevents.15.option1;Well that's annoying!;;;;;;;;;x
SJDwarfevents.16.desc;You have for the last weeks been working on rebuilding the entrance to the castle as the entrance was very battered. The entrance now looks sturdier than ever before which pleases you enormously.;;:;;;;;;x
SJDwarfevents.16.option1;Well done, [Root.GetName]!;;;;;;;;;x
