passing_asuryan;Passing the Flames;;;;;;;;;;;;;;x
passing_asuryan_desc;It is tradition for the Phoenix King to be legitimized by crossing Asuryan's holy flames. If the Prince emerges unscathed, then he is recognized as the rightful ruler of the Asur.;;;;;;;;;;;;;;x
EVTDESCasur1;The priestesses make sure you are ready by casting the proper protective spells, and you leap into the flames that will consecrate you as the rightful ruler of Ulthuan.;;;;;;;;;;;;;;x
EVTOPTAasur1;May Asuryan judge me well.;;;;;;;;;;;;;;x
EVTDESCasur2;You emerge unscathed from the holy flames, the priestesses raise their praises to the Gods and the new Phoenix King.;;;;;;;;;;;;;;x
EVTOPTAasur2;Asuryan blesses me.;;;;;;;;;;;;;;x
EVTDESCasur3;You enter the flames with a steady heart, but the Gods do not favour you today. Asuryan's gaze passes through your protective spells and your flesh is scourged with fire. The priestesses manage to recover you, shrieking and maimed, but the will of the Gods has been made clear today, you are not the rightful heir to the Phoenix Crown.;;;;;;;;;;;;;;x
EVTOPTAasur3;AAAARGH!;;;;;;;;;;;;;;x
EVTDESCasur4;You enter the flames with a steady heart, but the Gods do not favour you today. Asuryan's gaze passes through your protective spells and your flesh is scourged with fire. The priestesses struggle to save you, but your offences must have been great indeed, for they recover nothing but a blackened carcass.;;;;;;;;;;;;;;x
EVTOPTAasur4;...;;;;;;;;;;;;;;x
EVTDESCasur5;[From.GetTitledFirstName] has passed through the Flames of Asuryan without being burned, thus proving his divinely-given right to rule over Ulthuan.;;;;;;;;;;;;;;x
EVTOPTAasur5;Long live the Phoenix King!;;;;;;;;;;;;;;x
EVTOPTBasur5;What a weird custom.;;;;;;;;;;;;;;x
EVTDESCasur6;[From.GetTitledFirstName] tried to pass through the Flames of Asuryan, but the god saw his wickedness and burned him, sculpting a blasphemous shape around a blasphemous heart.;;;;;;;;;;;;;;x
EVTOPTAasur6;He cannot wear the crown!;;;;;;;;;;;;;;x
EVTOPTBasur6;He was burned for crossing a fire. So what?;;;;;;;;;;;;;;x
EVTDESCasur7;Your [GetFromRelation] was burned by the holy Flames of Asuryan, disgracing his whole line along with himself.;;;;;;;;;;;;;;x
EVTOPTAasur7;But I'm not tainted!;;;;;;;;;;;;;;x
EVTDESCasur8;The healing spells are slowly putting you back to health, but the scourge of Asuryan remains, marking your skin, weighing on your troubled soul.;;;;;;;;;;;;;;x
EVTOPTAasur8;How could this happen?;;;;;;;;;;;;;;x
EVTDESCasur9;[From.GetTitledFirstName] tried to pass through the Flames of Asuryan, but the God saw his wickedness and burned him, leaving nothing but a blackened carcass in his wake.;;;;;;;;;;;;;;x
EVTOPTAasur9;A false king has been revealed by the righteous gods!;;;;;;;;;;;;;;x
EVTOPTBasur9;Why did he even cross the fire in the first place?;;;;;;;;;;;;;;x
EVTDESCasur10;Your [GetFromRelation] was burned by the holy Flames of Asuryan, dying a horrible death and disgracing his whole bloodline.;;;;;;;;;;;;;;x
EVTOPTAasur10;But I'm not tainted!;;;;;;;;;;;;;;x
EVTDESCasur11;You've been chosen by the Dragon Princes to take the lead of Ulthuan, following the disgraceful reign of [From.GetFirstName].;;;;;;;;;;;;;;x
EVTOPTAasur11;I will rule in the grace of Asuryan.;;;;;;;;;;;;;;x
renounce_cadai;Renounce Cadai;;;;;;;;;;;;;;x
renounce_cadai_desc;Asuryan has cursed you, is it really worth it to worship a God who despises your rule?;;;;;;;;;;;;;;x
EVTDESCasur12;Following in the footsteps of the blasphemous Witch-King, [From.GetTitledFirstName] has renounced Asuryan to follow Kaela Mensha Khaine, planting the seeds for a potential second Sundering.;;;;;;;;;;;;;;x
EVTOPTAasur12;He is right!;;;;;;;;;;;;;;x
EVTOPTBasur12;Shame befalls him.;;;;;;;;;;;;;;x
EVTDESCasur11001;The Dragon Princes have decided that it is in the best interest of Ulthuan that its rule pass to [From.GetFirstName] after the ignominious departure of the last Phoenix King.;;;;;;;;;;;;;;x
EVTOPTAasur11001;But I'm the rightful heir!;;;;;;;;;;;;;;
EVTDESCasur13;Some Elves believe the Asur should detach themselves from the corruption of the outside world, others that it is their duty to lead lesser species away from evil.;;;;;;;;;;;;;;
EVTOPTAasur13;We need to protect Ulthuan.;;;;;;;;;;;;;;
EVTOPTBasur13;We need to protect the World.;;;;;;;;;;;;;;
asurpolitical_stand;Take a political stance;;;;;;;;;;;;;;
asurpolitical_stand_desc;Every Elf in Ulthuan has their personal opinion about whether Asur should involve themselves in the affairs of the outside world or not. What's yours?;;;;;;;;;;;;;;
faction_isolationist_elves;Isolationists;;;;;;;;;;;;;;
faction_isolationist_elves_title;Isolationists;;;;;;;;;;;;;;
faction_isolationist_elves_desc;It is common in Ulthuan for Elves to preach detachment from the rest of the world, to prevent corruption from pouring in. Going against this traditional way of thinking is not well regarded by some Princes.;;;;;;;;;;;;;;
faction_isolationist_elves_ultimatum;Demand liege to close borders;;;;;;;;;;;;;;
faction_isolationist_elves_ultimatum_desc;Ulthuan should not meddle with other lesser cultures. It is time for the Phoenix King to accept that.;;;;;;;;;;;;;;
EVTDESCasur14;I am afraid the Faction I represent must insist on changing the current political stance of Ulthuan regarding the outside world. We are fully prepared to take up arms should you refuse, and rest assured, we have warriors enough to enforce our just demand and finally guarantee the safety and purity of the blood of Asur...\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;;
EVTOPTAasur14;Very well.;;;;;;;;;;;;;;
EVTOPTBasur14;This is not what I command!;;;;;;;;;;;;;;
EVTDESCasur15;Your shameful attempt at blackmail has not succeeded. No matter how many corrupted souls you have enticed to help carry out your plan I will not give in without a fight. Ulthuan has been secluded for far too long!\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;;
EVTOPTAasur15;Then war it is!;;;;;;;;;;;;;;
EVTDESCasur16;I see the error of my ways and understand now what is best for the Asur. I will issue a formal declaration disallowing further interaction with the outside world.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;;
EVTOPTAasur16;Excellent.;;;;;;;;;;;;;;
