disfigured;Disfigured;;;;;;;;;;;;;x
disfigured_desc;This character's face has been horribly disfigured.;;;;;;;;;;;;;x
fat;Fat;;;;;;;;;;;;;x
fat_desc;This character is extremely overweight.;;;;;;;;;;;;;x
undernourished;Undernourished;;;;;;;;;;;;;x
undernourished_desc;This character is extremely underweight.;;;;;;;;;;;;;x
mut_spines;Spines;;;;;;;;;;;;;
mut_spines_desc;A set of spines has burst forth from beneath this character's skin.;;;;;;;;;;;;;
mut_crests;Crests;;;;;;;;;;;;;
mut_crests_desc;This character's face is crowned by a set of crests.;;;;;;;;;;;;;
mut_horns;Horns;;;;;;;;;;;;;
mut_horns_desc;This character has a pair of horns sprouting from their head.;;;;;;;;;;;;;
mut_scales;Scales;;;;;;;;;;;;;
mut_scales_desc;This character has a set of scales growing over their skin.;;;;;;;;;;;;;
mut_thirdeye;Third Eye;;;;;;;;;;;;;
mut_thirdeye_desc;This character has a third eye on their forehead.;;;;;;;;;;;;;
mut_tongue;Whip Tongue;;;;;;;;;;;;;
mut_tongue_desc;This character's tongue has grown unnaturally long and sharp.;;;;;;;;;;;;;
addict;Addict;;;;;;;;;;;;;
addict_desc;This character makes frequent use of hallucinogens and other addictive substances of dubious origin.;;;;;;;;;;;;;
pet_consort;Pet Consort;;;;;;;;;;;;;
pet_consort_desc;This character has been captured and forced to be subjected to the twisted desires as part of someone's private harem.;;;;;;;;;;;;;
retired_with_harem;Retired with Harem;;;;;;;;;;;;;
retired_with_harem_desc;This character is currently absent from court, having retired to a private mansion with their favourite thralls.;;;;;;;;;;;;;
traits_label;Traits:;;;;;;;;;;;;;
CHARVIEW_TRAITS;Traits:;;;;;;;;;;;;;
troubled_pregnancy;Troubled Pregnancy;;;;;;;;;;;;;
troubled_pregnancy_desc;This woman is going through or has recently gone through a particularly troubled pregnancy, leaving her weakened and feverish in her bed, unable to do much.;;;;;;;;;;;;;
troubled_pregnancy_death;died in her labour.;;;;;;;;;;;;;
hard_pregnancy;Hard Pregnancy;;;;;;;;;;;;;
hard_pregnancy_desc;This woman is going through a particularly hard pregnancy, which is hindering her everyday actions.;;;;;;;;;;;;;
hard_pregnancy_death;died in her labour.;;;;;;;;;;;;;
opinion_fought_debate;Fought debate;;;;;;;;;;;;;
preparing_ulthuan_invasion;Preparing Invasion;;;;;;;;;;;;;
preparing_ulthuan_invasion_desc;This ruler is preparing an invasion to reconquer Ulthuan.;;;;;;;;;;;;;
attempted_ulthuan_invasion;Attempted Invasion;;;;;;;;;;;;;
attempted_ulthuan_invasion_desc;This ruler has recently gathered forces to reconquer Ulthuan, it'll take some time before their lands will be able to sustain another such effort.;;;;;;;;;;;;;
opinion_scared_into_submission;Scared into submission;;;;;;;;;;;;;
opinion_barbaric;Barbaric;;;;;;;;;;;;;
opinion_nauglir_family;Fed relative to Nauglir;;;;;;;;;;;;;
opinion_nauglir_family_druchii;Fed relative to Nauglir;;;;;;;;;;;;;
opinion_dragon_family;Fed relative to Dragon;;;;;;;;;;;;;
opinion_dragon_family_druchii;Fed relative to Dragon;;;;;;;;;;;;;
opinion_gryphon_family;Fed relative to Griffon;;;;;;;;;;;;;
opinion_gryphon_family_druchii;Fed relative to Griffon;;;;;;;;;;;;;
dismiss_concubine;Set Aside;;;;;;;;;;;;;
dismiss_concubine_desc;Set aside [Root.GetFirstName] in order to leave space in your harem for other concubines.;;;;;;;;;;;;;
druchii_police_decision;Survey Naggaroth;;;;;;;;;;;;;
druchii_police_decision_desc;As the long reigning ruler of Naggaroth, you've had years to create your own network of spies and seers to find and take care of any dissidents within your realm. With a single order you can make sure there will be no more factioneering against you for some time.;;;;;;;;;;;;;
recently_employed_druchiiservices;Recently Employed Spy Network;;;;;;;;;;;;;
recently_employed_druchiiservices_desc;Not too long ago the Druchii King has unleashed the many spies at their disposal to whip the plotting vassals of Naggaroth back in line.;;;;;;;;;;;;;
opinion_cracked_onme;Cracked on me;;;;;;;;;;;;;
avatar_kurnous;Avatar of Kurnous;;;;;;;;;;;;;
avatar_kurnous_desc;The King of Athel Loren is commonly believed to be the avatar of Kurnous, the Elven God of the Hunt. Each winter, the King dies, only to be reborn on spring. Each year, the King will lead a Wild Hunt to scour the sacred glades of the Asrai and any nearby lands, mercilessly rooting out any corruption found.;;;;;;;;;;;;;
avatar_isha;Avatar of Isha;;;;;;;;;;;;;
avatar_isha_desc;The Queen of Athel Loren is commonly believed to be the avatar of Isha, the Elven Goddess of Life. The Everqueen of Ulthuan claims such right as well, which has been the cause of contention between Asur and Asrai.;;;;;;;;;;;;;
not_avatar;Mortal;;;;;;;;;;;;;
not_avatar_desc;By tradition, Athel Loren is held by the conjoined rule of two divine Avatars of the Elven Gods Isha and Kurnous, yet the Elf currently claiming the throne has not received such blessing.;;;;;;;;;;;;;
without_kurnous;Missing Avatar;;;;;;;;;;;;;
without_kurnous_desc;There is no avatar of Kurnous to lead the Asrai to their glorious Wild Hunts. Without him, Athel Loren is weakened and his inhabitants restless.;;;;;;;;;;;;;
without_isha;Missing Avatar;;;;;;;;;;;;;
without_isha_desc;There is no avatar of Isha to protect the sacred glades of Athel Loren. Without her, the great forest is weakened and his inhabitants restless.;;;;;;;;;;;;;
without_avatars;Missing Avatars;;;;;;;;;;;;;
without_avatars_desc;The gods have abandoned Athel Loren. Without them to protect and lead them, the Asrai fear for their very survival.;;;;;;;;;;;;;
creature_beastman;Beastman;;;;;;;;;;;;;
creature_beastman_desc;Beastmen are the children of Chaos. Grotesque hybrids of fierce animal and barbaric human, these horned and stinking warrior-beasts can be found infesting many of the dark forests and trackless wastes that cover much of the world.;;;;;;;;;;;;;
creature_forestspirit;Forest Spirit;;;;;;;;;;;;;
creature_forestspirit_desc;Athel Loren is ripe with spirits of all kinds, some of them as old as the world itself. Capricious and mysterious creatures, their minds are alien even to the Asrai living with them, but they all share a fierce determination when it comes to protecting their woods.;;;;;;;;;;;;;
creature_treekin;Tree Kin;;;;;;;;;;;;;
creature_treekin_desc;At the heart of every Tree Kin resides the soul of a dead elf, though this is not the fate of all. Only the strongest and most driven souls retain enough individuality to become such a creature.;;;;;;;;;;;;;
asrai_spellsinger;Spellsinger;;;;;;;;;;;;;
asrai_spellsinger_desc;Rather than protecting themselves with rituals from the dangers of raw magic, the Asrai join their minds with the sleeping consciousness of Athel Loren, so that the forest's spirits themselves might help them in their efforts. Through this bond, some of them are able to reshape the forest itself to their whims.;;;;;;;;;;;;;
resting;Resting;;;;;;;;;;;;;
resting_desc;This character is currently trapped in a magical slumber.;;;;;;;;;;;;;
athel_loren_winter;Winter;;;;;;;;;;;;;
athel_loren_winter_desc;When winter comes in Athel Loren the spirits fall in a deep slumber and the royal couple retires within the Oak of the Ages. The Avatar of Kurnous dies, in order to be reborn once more in the spring and the Elves as well fall in a torpor.;;;;;;;;;;;;;
restless_spirits;Restless Spirits;;;;;;;;;;;;;
restless_spirits_desc;This ruler has not shown proper reverence for the mysterious denizens of Athel Loren.;;;;;;;;;;;;;
opinion_asur_tyrant;Oppressive Tyrant;;;;;;;;;;;;;
MUST_BE_50_YEARS;50 years passed from last change;;;;;;;;;;;;;
MUST_BE_75_YEARS;75 years passed from last change;;;;;;;;;;;;;
MUST_BE_150_YEARS;150 years passed from last change;;;;;;;;;;;;;
MUST_BE_200_YEARS;200 years passed from last change;;;;;;;;;;;;;
title_spellsinger;Spellsinger;;;;;;;;;;;;;
mage_apprentice;Apprentice;;;;;;;;;;;;;
mage_apprentice_desc;This character is studying magic from a more expert wizard.;;;;;;;;;;;;;
apprenticeship_refused;Failed Apprentice;;;;;;;;;;;;;
apprenticeship_refused_desc;This character attempted to undertake the study of the arcane matters, with little success.;;;;;;;;;;;;;
asrai_ward_apprentice;Take Apprentice;;;;;;;;;;;;;
