#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# DUELENGINE LOCALS
#
EVTDESC_DUELACTION_2;Choose what action you would like to perform. State of character: Hit points left: [Root.duel_hp.GetValue], Max hit points: [Root.duel_max_hp.GetValue].;;;;;;;;;;;;;x
#
NEXT_ACTION;Show next action;;;;;;;;;;;;;x
PREVIOUS_ACTION;Show previous action;;;;;;;;;;;;;x
#
#
ACTION_MEELE_STRIKE;Attack the enemy;;;;;;;;;;;;;x
ACTION_DODGE;Try to dodge incoming blows;;;;;;;;;;;;;x
ACTION_PARRY;Try to use your weapon or shield to block the blows that may come;;;;;;;;;;;;;x
ACTION_ASSESS;Look for weakness in enemy defence and prepare yourself;;;;;;;;;;;;;x
#
ACTION_LORE_ICE;Lore of Ice;;;;;;;;;;;;;x
ACTION_LORE_FIRE;Lore of Fire;;;;;;;;;;;;;x
ACTION_LORE_BEASTS;Lore of Beasts;;;;;;;;;;;;;x
ACTION_LORE_METAL;Lore of Metal;;;;;;;;;;;;;x
ACTION_LORE_LIGHT;Lore of Light;;;;;;;;;;;;;x
ACTION_LORE_LIFE;Lore of Life;;;;;;;;;;;;;x
ACTION_LORE_HEAVENS;Lore of Heavens;;;;;;;;;;;;;x
ACTION_LORE_DEATH;Lore of Death;;;;;;;;;;;;;x
ACTION_LORE_SHADOWS;Lore of Shadows;;;;;;;;;;;;;x
ACTION_LORE_HIGH_MAGIC;High Magic;;;;;;;;;;;;;x
ACTION_LORE_DARK_MAGIC;Dark Magic;;;;;;;;;;;;;x
ACTION_LORE_NURGLE;Lore of Nurgle;;;;;;;;;;;;;x
ACTION_LORE_SLAANESH;Lore of Slaanesh;;;;;;;;;;;;;x
ACTION_LORE_TZEENTCH;Lore of Tzeentch;;;;;;;;;;;;;x
ACTION_LORE_NECROMANCY;Necromancy;;;;;;;;;;;;;x
ACTION_LORE_WAAAGH;Greenskin Magic;;;;;;;;;;;;;x
################################################ DUEL REPORTS ####################################################
# ROUND REPORTS
EVTDESC_DUELACTION_100;Generic round report. Hit points: [Root.duel_hp.GetValue] out of [Root.duel_max_hp.GetValue].;;;;;;;;;;;;;x
EVTDESC_DUELACTION_101;Generic round report. Hit points: [Root.duel_hp.GetValue] out of [Root.duel_max_hp.GetValue].;;;;;;;;;;;;;x
EVTDESC_DUELACTION_102;You exchanged the blows with your enemy dealing him [From.duel_dmg.GetValue] damage, while receiving [Root.duel_dmg.GetValue] damage.;;;;;;;;;;;;;x
EVTDESC_DUELACTION_103;You exchanged the blows with your enemy dealing him [From.duel_dmg.GetValue] damage, while receiving [Root.duel_dmg.GetValue] damage.;;;;;;;;;;;;;x
# DUEL OUTCOMES
EVTDESC_DUELACTION_200;Your enemy dealt you a killing blow, you died...;;;;;;;;;;;;;x
EVTOPTA_DUELACTION_200;Aaaaargh!;;;;;;;;;;;;;x
EVTDESC_DUELACTION_201;You have slain your enemy!;;;;;;;;;;;;;x
EVTOPTA_DUELACTION_201;Victory for [Root.PrimaryTitle.GetName]!;;;;;;;;;;;;;x
EVTDESC_DUELACTION_202;You managed to escape from certain death at the hands of your enemy.;;;;;;;;;;;;;x
EVTOPTA_DUELACTION_202;I must get away from here!;;;;;;;;;;;;;x
EVTDESC_DUELACTION_203;Your craven enemy has escaped!;;;;;;;;;;;;;x
EVTOPTA_DUELACTION_203;Coward! Run back to [From.Capital.GetName]!;;;;;;;;;;;;;x
