#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# racial decisions - hidden, no local
ai_race_ogre;;;;;;;;;;;;;;x
ai_race_orc;;;;;;;;;;;;;;x
ai_race_goblin;;;;;;;;;;;;;;x
ai_race_elf;;;;;;;;;;;;;;x
ai_race_beastman;;;;;;;;;;;;;;x
ai_race_skaven;;;;;;;;;;;;;;x
ai_race_nehekharan;;;;;;;;;;;;;;x
ai_race_halfling;;;;;;;;;;;;;;x
ai_race_chaos_dwarf;;;;;;;;;;;;;;x
ai_race_dwarf;;;;;;;;;;;;;;x
ai_race_human;;;;;;;;;;;;;;x
#
# REALM DECISION
#
decision_empire_count_army;Inspect Army;;;;;;;;;;;;;x
decision_empire_count_army_desc;Inspects the army, counting the number of troops that Elector Counts can provide state.;;;;;;;;;;;;;x
#
# spell decisions
#
decision_lore_light1;Cast Heal;;;;;;;;;;;;;x
decision_lore_light1_desc;Attempt to manipulate Hysh to heal the people from injuries and illness.;;;;;;;;;;;;;x
decision_lore_light2;Banish Daemon;;;;;;;;;;;;;x
decision_lore_light2_desc;Use White Wind of Magic to banish the Daemon from the body of a person.;;;;;;;;;;;;;x
TOOLTIP_DEC_HYSH_2;A character possessed by the Daemon must be in reach.;;;;;;;;;;;;;x
# ICE LORE
decision_lore_ice1;Summon Blizzard;;;;;;;;;;;;;x
decision_lore_ice1_desc;Summon a blizzard to slow march of your enemies.;;;;;;;;;;;;;x
decision_lore_ice2;Raise Ice Walls;;;;;;;;;;;;;x
decision_lore_ice2_desc;Raises an ice wall from the ground.;;;;;;;;;;;;;x
decision_lore_ice3;Cast Biting Wind;;;;;;;;;;;;;x
decision_lore_ice3_desc;Unleash an icestorm and biting winds upon your enemies.;;;;;;;;;;;;;x
TOOLTIP_DEC_ICE_2;Ice walls cannot be raised in province holdings.;;;;;;;;;;;;;
#
decision_lore_dark;Dark Magic;;;;;;;;;;;;;x
decision_lore_dark_desc;Attempt to cast Dark Magic spells.;;;;;;;;;;;;;x
decision_lore_fire;Lore of Fire;;;;;;;;;;;;;x
decision_lore_fire_desc;Attempt to manipulate Aqushy, the Red Wind of Magic.;;;;;;;;;;;;;x
decision_lore_necromancy1;Raise an army of Undead;;;;;;;;;;;;;x
decision_lore_necromancy1_desc;Performs a ritual of great power raising an undead legion.;;;;;;;;;;;;;x
decision_lore_necromancy2;Cast Wind of Death;;;;;;;;;;;;;x
decision_lore_necromancy2_desc;Summons the Wind of Death which sucks the life from the the living in area.;;;;;;;;;;;;;x
TOOLTIP_DEC_NECROMANCY_1;Requires enormous magical power and hundreds of Human corpses. Province must be controlled by character.;;;;;;;;;;;;;
TOOLTIP_DEC_NECROMANCY_2;Requires tremendous magical power. Will kill large amount of population - cannot be used in the same province twice. Province must be controlled by character.;;;;;;;;;;;;;x
#
decision_open_spellbook;Open the spellbook.;;;;;;;;;;;;;x
decision_open_spellbook_desc;Shows the available spells.;;;;;;;;;;;;;x
decision_close_spellbook;Close the spellbook.;;;;;;;;;;;;;x
decision_close_spellbook_desc;Closes the spellbook.;;;;;;;;;;;;;x
# chaos decisions
decision_reveal_chaos_religion;Reveal yourself as a Chaos worshipper.;;;;;;;;;;;;;x
decision_reveal_chaos_religion_desc;Reveal yourself as a Chaos worshipper.;;;;;;;;;;;;;x
# attack_chaos
decision_attack_chaos;Fight against Chaos!;;;;;;;;;;;;;x
decision_attack_chaos_desc;Join the holy war against Chaos forces that are trespassing in your lands.;;;;;;;;;;;;;x
decision_attack_chaos_tooltip;Requires Chaos army trespassing in your lands.;;;;;;;;;;;;;x
# chaos struggle
decision_chaos_struggle_help;Call for help against forces of Chaos.;;;;;;;;;;;;;x
decision_chaos_struggle_help_desc;Sends a call for help to every ruler of forces of Order.;;;;;;;;;;;;;x
decision_chaos_struggle_help_tooltip;Help has not been called.;;;;;;;;;;;;;x
