#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#
# namespace = empire;;;;;;;;;;;;;;;
EVTDESC_EMPIRE_1;Emperor [From.GetBestName] reminds you about your duty to provide State with troops. What will be your response?;;;;;;;;;;;;;x
EVTOPT_EMPIRE_1A;It is my sacred duty!;;;;;;;;;;;;;x
EVTOPT_EMPIRE_1B;Turn back on your Emperor.;;;;;;;;;;;;;x
EVTDESC_EMPIRE_2;Your vassal [From.GetBestName] will provide Empire with [From.GetHerHis] troops in the time of need.;;;;;;;;;;;;;x
EVTDESC_EMPIRE_3;A traitor! Your vassal [From.GetBestName] didn't provide Empire with troops!;;;;;;;;;;;;;x
#
#startup events;;;;;;;;;;;;;;;
GAME;Gameplay options;;;;;;;;;;;;;x
startup0desc;At the dawn of time, it is said that the two Old Ones battled to decide what would be the laws upon which the Universe revolves. Unable to reach a consensus, they split Reality in half, so that those who sought canon over freedom and their opposites could both be pleased by inscribing their preference upon this magic tablet...\n\nThere are two ways to play the Warhammer mod. Option A: Player cannot marry outside of his race, and no one can switch to another race's religion. Option B: Player only (not AI) can marry outside of his race, and with some notable exceptions, it is possible for races to change religions. Way of Life DLC seductions are also less restrictive.;;;;;;;;;;;;;x
startup0A;A - I want a purely canon experience;;;;;;;;;;;;;x
startup0B;B - I value player choice over canon sometimes;;;;;;;;;;;;;x
# namespace = temptation;;;;;;;;;;;;;;;
temptation.1;The Embrace of Uncle Nurgle;;;;;;;;;;;;;x
temptation.1_desc;The Plague Father, Fly Lord, Great Corrupter, the Master of Pestilence... Grandfather Nurgle has many titles. Within your very mind and soul you hear the maddened buzzing of a billion flies, and a chorus of choking, coughing voices whispering in your ears. They are calling you to join them in the endless bliss of utter pestilence and decay, to cast aside the facade of health and embrace the utter rottenness that is the inevitable fate of all life.;;;;;;;;;;;;;x
Temptation.1.TOOLTIP1;Father Nurgle loves his children, hehehe...;;;;;;;;;;;;;x
Temptation.1.TOOLTIP2;[Root.Religion.GetRandomGodNameCap] will give me the strength to resist this sickness in my heart!;;;;;;;;;;;;;x
temptation.2;The Seductions of the Prince of Pleasure;;;;;;;;;;;;;x
temptation.2_desc;Truth, beauty, honour, justice... what do any of these things mean without pleasure? Are not the senses of Man his guide into the divine? Poetry, music, dance, wine, none of it is enough for one of your intellect and needs. Your body and mind yearn for stimulation, to seek out new experiences. You tire of the restraints of so-called "civilised society,and wonder if it might be better to seek out like-minded spirits and experiment with a new lifestyle beyond mere mortal hedonism? Your inquiring mind and almost uncontrollable lust for life leads you to the Forbidden Lord of Excess, Slaanesh, who can offer you all you desire in return for so little?;;;;;;;;;;;;;x
temptation.2.TOOLTIP1;Ah, what sweet ecstasy is this? I must have more!;;;;;;;;;;;;;x
temptation.2.TOOLTIP2;No, no, I have gone too far... [Root.Religion.GetRandomGodNameCap] forgive me.;;;;;;;;;;;;;x
temptation.3;The Changer of Ways Calls Ye;;;;;;;;;;;;;x
