#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_knights_panther;Knights Panther;;;;;;;;;;;;;x
d_knights_sigmars_blood;Knights of Sigmar's Blood;;;;;;;;;;;;;x
d_knights_griffon;Knights Griffon;;;;;;;;;;;;;x
d_knights_black_rose;Knights of the Black Rose;;;;;;;;;;;;;x
d_knights_blazing_sun;Knights of the Blazing Sun;;;;;;;;;;;;;x
d_knights_broken_sword;Knights of the Broken Sword;;;;;;;;;;;;;x
d_knights_everlasting_light;Knights of the Everlasting Light;;;;;;;;;;;;;x
d_knights_white_wolf;Knights of the White Wolf;;;;;;;;;;;;;x
d_reiksguard;Reiksguard;;;;;;;;;;;;;x
d_desert_dogs;Desert Dogs;;;;;;;;;;;;;x
d_leopolds_leopard_company;Leopard Company;;;;;;;;;;;;;x
d_brazangas_besiegers;Besiegers;;;;;;;;;;;;;x
d_dragon_company;Dragon Company;;;;;;;;;;;;;x
d_knights_origo;Knights of Origo;;;;;;;;;;;;;x
d_flagellant_warband;Flagellant Warband;;;;;;;;;;;;;x
d_red_redemption;Red Redemption;;;;;;;;;;;;;x
d_vanguard_of_khorne;Vanguard of Khorne;;;;;;;;;;;;;x
d_desolators_of_nurgle;Desolators of Nurgle;;;;;;;;;;;;;x
d_heralds_of_tzeentch;Heralds of Tzeentch;;;;;;;;;;;;;x
d_ravagers_of_slaanesh;Ravagers of Slaanesh;;;;;;;;;;;;;x
d_knights_of_the_cleansing_flame;Knights of the Cleansing Flame;;;;;;;;;;;;;x
d_bearmen_of_ursulo;Bearmen of Ursulo;;;;;;;;;;;;;x
d_alcatani_fellowship;Alcatani Fellowship;;;;;;;;;;;;;x
d_riccos_republican_guard;Republican Guard;;;;;;;;;;;;;x
d_cursed_company;Cursed Company;;;;;;;;;;;;;x
d_mother_crushers;Mother Crushers;;;;;;;;;;;;;x
d_spike_clan_commandos;Spike-Clan Commandos;;;;;;;;;;;;;x
d_fighting_cocks;Fighting Cocks;;;;;;;;;;;;;x
d_marksmen_of_miragliano;Marksmen of Miragliano;;;;;;;;;;;;;x
d_tichi_huchis_raiders;Tichi-Huchi's Raiders;;;;;;;;;;;;;x
d_vesperos_vendetta;Vespero's Vendetta;;;;;;;;;;;;;x
d_volands_venators;Venators;;;;;;;;;;;;;x
d_birdmen_of_catrazza;Birdmen of Catrazza;;;;;;;;;;;;;x
d_bronzinos_galloper_guns;Galloper Guns;;;;;;;;;;;;;x
d_black_mountain_boys;Black Mountain Boys;;;;;;;;;;;;;x
d_aklands_death_commandos;Death Commandos;;;;;;;;;;;;;x
d_battle_chariots_of_bogdan;Battle Chariots;;;;;;;;;;;;;x
d_notlobs_bolt_throwers;Bolt-Throwers;;;;;;;;;;;;;x
d_throgs_hobgoblin_despoilers;Hobgoblin Despoilers;;;;;;;;;;;;;x
d_nightmare_legion;Nightmare Legion;;;;;;;;;;;;;x
d_skarlocs_wood_elf_archers;Wood Elf Archers of Skarloc;;;;;;;;;;;;;x
d_bowmen_of_prince_oreon;Bowmen of Prince Oreon;;;;;;;;;;;;;x
d_vanaheim_marauders;Vanaheim Marauders;;;;;;;;;;;;;x
d_kathleen_chargers;Kathleen Chargers;;;;;;;;;;;;;x
d_blue_face_boyz;Blue Face Boyz;;;;;;;;;;;;;x
d_broken_tooth_boyz;Broken Tooth Boyz;;;;;;;;;;;;;x
d_dead_head_boyz;Dead-Head Boyz;;;;;;;;;;;;;x
d_slayer_legion;Slayer Legion;;;;;;;;;;;;;x
d_siren_isles_sailors;Siren Isles Sailors;;;;;;;;;;;;;x
d_sartosan_hulks;Sartosan Hulks;;;;;;;;;;;;;x
d_norscan_seafarers;Norscan Seafarers;;;;;;;;;;;;;x
d_erengrad_convoy;Erengrad Convoy;;;;;;;;;;;;;x
d_marienburg_merchant_fleet;Marienburg Merchant Fleet;;;;;;;;;;;;;x
d_sons_of_war;Sons of War;;;;;;;;;;;;;x
d_hammers_of_azagar;Hammers of Azagar;;;;;;;;;;;;;x
d_shadow_warriors;Shadow Warriors;;;;;;;;;;;;;x
d_oreguard;Oreguard;;;;;;;;;;;;;x
d_damned_souls;Damned Souls;;;;;;;;;;;;;x
d_black_uhlans;Black Uhlans;;;;;;;;;;;;;x
d_desolators;Desolators;;;;;;;;;;;;;x
d_duskstriders;Duskstriders;;;;;;;;;;;;;x
d_captives_of_decay;Captives of Decay;;;;;;;;;;;;;x
d_children_of_the_blight;Children of the Blight;;;;;;;;;;;;;x
d_banner_of_mayhem;Banner of Mayhem;;;;;;;;;;;;;x
d_disciples_of_chaos;Disciples of Chaos;;;;;;;;;;;;;x
d_wretched;Wretched;;;;;;;;;;;;;x
d_dismal_defilers;Dismal Defilers;;;;;;;;;;;;;x
d_tainted_band;Tainted Band;;;;;;;;;;;;;x
d_slaves_of_excess;Slaves of Excess;;;;;;;;;;;;;x
d_steeds_of_carnage;Steeds of Carnage;;;;;;;;;;;;;x
d_subjugators;Subjugators;;;;;;;;;;;;;x
c_blood_dragon_knights;Ordo Draconis;;;;;;;;;;;;;x
d_blood_dragon_knights;Order of the Blood Dragon;;;;;;;;;;;;;
