#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
socialite;Socialite;;;;;;;;;;;;;x
socialite_desc;This character is a social butterfly, planning and attending events which allow them to make advantageous friendships and gather rumours.;;;;;;;;;;;;;x
alchemist;Alchemist;;;;;;;;;;;;;x
alchemist_desc;This character has a keen inquisitive streak and spends much time experimenting with odd substances, hoping to make some great discovery.;;;;;;;;;;;;;x
brewmaster;Brewmaster;;;;;;;;;;;;;x
brewmaster_desc;This character is a master of brewery and alcohol, having a hand in their own private stock.;;;;;;;;;;;;;x
beast_tamer;Beast Tamer;;;;;;;;;;;;;x
beast_tamer_desc;This character has a penchant for taming and domesticating all manner of unlikely creatures.;;;;;;;;;;;;;x
blacksmith;Blacksmith;;;;;;;;;;;;;x
blacksmith_desc;This character loves the furnace and forge.;;;;;;;;;;;;;x
explorer;Explorer;;;;;;;;;;;;;x
explorer_desc;This character has something of a wanderlust. When not poring over maps and journals they are often found wandering the countryside.;;;;;;;;;;;;;x
engineer;Engineer;;;;;;;;;;;;;x
engineer_desc;This character experiments with simple and complex machinery.;;;;;;;;;;;;;x
monster_hunter;Monster Hunter;;;;;;;;;;;;;x
monster_hunter_desc;This character seeks the most dangerous game.;;;;;;;;;;;;;x
flagellant;Flagellant;;;;;;;;;;;;;x
flagellant_desc;This character believes strongly in mortification of the flesh.;;;;;;;;;;;;;x
benefactor;Benefactor;;;;;;;;;;;;;x
benefactor_desc;This character devotes a great deal of effort to benefiting the poor and needy. An unusual hobby, to be sure.;;;;;;;;;;;;;x
slaver;Slaver;;;;;;;;;;;;;x
slaver_desc;This character is an enthusiastic participant in the slave trade, involving themselves whenever possible.;;;;;;;;;;;;;x
# CREATURE TRAITS;;;;;;;;;;;;;;
creature_human;Human;;;;;;;;;;;;;x
creature_human_desc;This character is a Human. Humans are extremely varied and can do almost anything, but are vulnerable to age, disease and mutation.;;;;;;;;;;;;;x
creature_elf;Elf;;;;;;;;;;;;;x
creature_elf_desc;This character is an Elf. Elfs are long-lived, potentially for thousands of years, and are fairly resistant to Chaos, but are still capable of being callous, cruel or destructive for other reasons.;;;;;;;;;;;;;x
creature_dwarf;Dwarf;;;;;;;;;;;;;x
creature_dwarf_desc;This character is a Dwarf. Dwarfs are long-lived, with most living for centuries and some individuals refusing to die long after that. They are stubborn and traditionalist in the extreme, and possess great resistance to Chaos and magic in general.;;;;;;;;;;;;;x
creature_chaos_dwarf;Chaos Dwarf;;;;;;;;;;;;;x
creature_chaos_dwarf_desc;This character is a Chaos Dwarf. Chaos Dwarfs, or Dawi Zharr, are a divergent branch of dwarfs that were trapped in the northern reaches of the world when the power of Chaos waxed. Choosing to serve the daemonic god Hashut, they have since accumulated a considerable array of small mutations and other unique traits, none of them pleasant. Unlike their dwarf cousins they are capable of using magic, but their natural resistance causes them to eventually turn to stone.;;;;;;;;;;;;;x
creature_halfling;Halfling;;;;;;;;;;;;;x
creature_halfling_desc;This character is a Halfling. Somewhat resembling short, round humans, halflings are generally well-disposed to humans, elves and dwarfs. They tend to live slightly longer than humans and are noted to be extremely resistant to the touch of Chaos.;;;;;;;;;;;;;x
creature_orc;Orc;;;;;;;;;;;;;x
creature_orc_desc;This character is an Orc. Orcs are large, brawny greenskins which naturally dominate any smaller greenskins. The boss of a tribe is usually the largest and meanest, but it is not unknown for an unusually cunning or magically-gifted orc to maintain control through other means. Orcs love to fight and win, but are also partial to shouting, drinking and building large ramshackle constructions.;;;;;;;;;;;;;x
creature_goblin;Goblin;;;;;;;;;;;;;x
creature_goblin_desc;This character is a Goblin. Goblins are smaller greenskins, but make up for their size with exceptional cunning. Goblins typically serve as fodder for orc armies, but if a tribe of goblins manages to kill or drive off their orc bosses, they will strike out on their own and attempt to carve out their own domain.;;;;;;;;;;;;;x
creature_snotling;Snotling;;;;;;;;;;;;;x
creature_snotling_desc;This character is a Snotling. Snotlings are small, cowardly and stupid greenskins, possessing a demeanour and intelligence comparable to an eager puppy dog. As such, they naturally follow any orc or goblin which cares to assert authority over them. Snotlings serve their masters happily until they are killed by misadventure, combat or lunch. In battle they wield whatever they can think to grab, such as pointy sticks, bones or large mushrooms, and are usually completely ineffective.;;;;;;;;;;;;;x
creature_nehekharan;Nehekharan;;;;;;;;;;;;;x
